prot	pepSeqNum	tgNum	guot_L130410_012_SW	
O00476	1	1	9672	
O15067	6	6	73159	
P62318	2	2	106475	
Q9UMS4	6	6	172610	
P25815	1	1	2473	
Q9H8Y8	3	3	54796	
Q5ST30	1	1	5175	
Q14554	5	5	125158	
Q9UHB6	12	12	177255	
Q15019	8	12	251403	
Q63HM1	1	1	3894	
P18428	3	4	60482	
P35270	8	11	192067	
O96008	2	2	43333	
Q9BYD1	2	2	144402	
P07858	7	10	103418	
P80217	1	1	44842	
P52565	7	8	322915	
Q01081	2	2	100255	
P21281	14	17	221024	
P28331	20	25	124387	
Q9BZF1	1	1	27795	
Q9Y696	10	12	352382	
P35998	9	9	160035	
O75970	1	1	181107	
P47897	9	9	129286	
Q96GD0	1	1	11359	
P08519	1	1	22620	
O75165	2	2	19482	
Q99766	2	2	46565	
P11182	9	9	185610	
P52434	1	1	4979	
P07237	33	42	936663	
P62269	6	7	208025	
P61106	13	15	196773	
Q9H6Q4	1	1	21263	
P27708	5	5	91468	
Q9H4B4	1	1	16934	
P37198	2	2	40977	
P50213	7	8	79756	
Q9UBI1	2	2	31782	
Q9Y3Z3	16	16	179317	
Q86Y82	4	4	53126	
Q9UBQ0	4	5	103769	
Q03135	5	5	108124	
P01009	30	48	2150217	
Q9Y3E0	1	1	12977	
Q9BXJ7	3	3	66656	
Q8N655	1	1	30399	
O43169	2	2	31022	
P12830	5	8	58372	
P07195	14	17	2258437	
P12814	19	24	179123	
Q05707	34	35	492499	
O60673	1	1	67025	
P22307	8	8	125533	
Q04637	11	11	87592	
Q9BTV4	3	3	63335	
P09622	14	15	197312	
P48047	13	16	478469	
Q1KMD3	10	10	105997	
Q9H0W9	7	11	531803	
Q14204	74	77	185591	
Q02338	5	5	39400	
Q16134	12	13	102432	
Q16774	2	2	36910	
Q15904	5	5	302370	
Q96IY4	1	1	47131	
Q01415	2	2	98538	
P25774	4	4	71137	
P36957	13	15	350518	
P78357	1	1	79324	
P15924	4	4	193170	
P68366	3	4	825270	
Q5HYA8	1	1	27484	
P51572	4	5	156146	
O00401	1	1	6610	
O60610	1	1	28850	
Q9H9B4	10	10	185197	
Q13356	1	1	14356	
P07814	15	15	132782	
P04114	59	60	171994	
Q16853	7	8	329074	
Q15417	6	6	128830	
P35637	3	3	162860	
Q14195	2	2	37533	
Q9Y3D2	2	2	85446	
Q96EP5	2	2	28456	
Q9UEW8	2	2	7546	
P29728	1	1	6652	
P06576	42	64	1322598	
O75935	2	2	94271	
O00170	2	2	80304	
O43765	2	2	16229	
Q99584	4	5	158054	
P36551	1	1	14433	
Q10471	3	3	56953	
Q9UDR5	7	8	61795	
Q9UNE7	3	3	65752	
P31431	1	1	54441	
Q8N1F7	3	3	59794	
Q96HS1	2	2	46405	
Q14651	8	9	99328	
P12532	6	6	64857	
O75955	5	5	62147	
Q9GZM7	7	9	146490	
Q9NUQ9	5	5	70090	
Q9HB71	3	3	55461	
P35580	38	45	140713	
Q9GZZ9	2	2	65195	
Q9Y6B6	1	1	39670	
Q9UJW2	8	9	122648	
P24752	23	34	868491	
Q8WZ42	1	1	450998	
Q9BRA2	3	3	224169	
O96007	1	1	16452	
Q9Y3B3	2	2	65733	
Q9HCJ6	2	3	48091	
Q96HC4	7	8	61420	
P01860	2	2	108429	
Q9ULZ3	7	7	169374	
P54136	9	9	97957	
P06753	4	6	399209	
Q8NF91	2	2	39775	
P54819	15	20	743635	
Q9UNH7	2	2	121515	
Q9BV38	1	1	32218	
Q53SF7	4	4	53329	
P51659	16	17	183167	
P78527	28	28	1045670	
Q9HCH5	1	1	17389	
O95336	9	10	356457	
Q5JU85	1	1	31161	
P04264	24	26	231325	
Q9NP97	1	1	25354	
P15153	2	2	61348	
Q00796	9	10	121886	
Q92820	9	13	78890	
Q15274	5	6	213356	
Q8WVY7	1	1	16435	
P08238	11	15	412863	
Q5TDH0	3	3	53503	
Q9UN36	5	5	100897	
P13797	11	12	113311	
O94886	1	1	8104	
Q5TEZ5	1	1	148079	
Q9HBJ8	1	1	6142	
Q9UIQ6	3	3	23012	
Q9BR76	4	4	97996	
Q86W92	1	1	65577	
P31930	16	20	149759	
A0AVI2	1	1	132137	
Q06323	11	12	563467	
Q9BVG4	4	4	163227	
P31939	20	22	305198	
Q969X5	8	8	202598	
P30041	17	23	1055741	
P50993	1	1	6283	
P11234	3	3	58184	
O75347	6	6	444314	
P63104	9	14	727407	
Q14247	10	10	191452	
P82979	1	1	65840	
Q96LD4	1	1	4829	
Q99798	40	61	464406	
P19338	22	23	393633	
P20290	1	1	35183	
P20618	7	7	366999	
Q6P179	1	1	20005	
Q92817	3	3	136009	
P57105	3	3	75108	
P48735	19	25	378778	
O76094	4	4	96674	
P23297	1	2	29415	
P02671	30	41	470098	
P61158	7	7	312773	
P60953	4	6	180657	
P80365	5	6	37782	
P62861	2	2	220470	
P56199	3	3	86606	
O75436	5	5	99215	
Q96LB4	2	2	31711	
Q9GZT3	5	6	141053	
Q8NFV4	10	13	112507	
P37837	14	14	822083	
P17987	15	18	433238	
Q96C86	4	5	77272	
P35908	15	16	105919	
Q9Y2R5	1	1	13098	
Q96CG8	2	2	102027	
P62195	9	9	96589	
Q9Y6N5	13	13	178626	
O15372	4	4	48492	
Q9UHD8	13	13	212200	
P05452	1	2	18112	
P51884	13	17	385724	
P13284	1	2	29475	
P42285	2	2	191360	
Q9BVK6	2	2	50383	
Q9H223	11	11	122338	
P51801	3	5	34139	
Q15907	2	3	95492	
Q01449	1	1	3526	
Q6P4A8	6	6	63026	
Q8N370	1	1	5161	
O95154	7	10	287972	
P0DJI8	3	4	234028	
P09234	1	1	25055	
Q00059	3	3	71686	
P62937	10	13	2099939	
Q96JB5	1	1	8660	
Q6ZWH5	1	1	14185	
Q9BWS9	1	1	14080	
P15121	16	21	151647	
Q13263	8	8	147067	
P61978	14	19	530682	
Q5VWJ9	1	1	8821	
Q07157	6	6	71291	
P62249	8	8	273070	
Q9H6R7	1	1	43414	
Q10589	1	1	96899	
Q14116	2	2	144845	
Q9H3K6	1	1	31431	
O95394	4	4	89746	
Q86UW7	1	1	70517	
Q9ULD0	22	25	235061	
P62917	2	2	209616	
Q13011	13	14	510880	
Q9NR19	9	10	111200	
P83916	1	1	16289	
Q9UBR2	4	4	87017	
Q8WWM9	1	1	30932	
P17931	8	13	323061	
Q8TBX8	1	1	28105	
O75923	2	2	49739	
P04003	3	3	143261	
P48681	15	16	279369	
P49915	3	3	101405	
O15533	4	4	75527	
P27338	10	13	335903	
P53990	4	4	69347	
P46939	4	4	43364	
Q9UHB9	3	3	114948	
Q9UKL6	1	1	65983	
Q9BQ61	2	2	29824	
P0C0L5	3	3	164632	
Q96S37	1	1	51183	
P21810	13	20	485856	
Q8IXM2	1	1	15064	
O95834	6	6	160004	
P61019	5	6	73459	
Q8N8R3	1	1	27445	
Q9P0V9	2	2	56778	
Q8TB96	1	1	10207	
Q92572	1	1	41476	
Q8TCS8	6	6	101045	
Q8NI60	2	2	58349	
Q8TDX5	1	1	27517	
O75663	1	1	19980	
Q08170	4	4	48541	
Q9Y263	1	1	5062	
P42766	1	1	56297	
Q969T9	1	1	26885	
Q13057	9	10	272356	
P02652	7	8	657151	
Q12802	2	2	165774	
O95168	3	4	119220	
P62888	2	2	150454	
P40616	2	2	54058	
P78324	1	1	3011	
P36969	5	5	157898	
Q8N766	3	3	83150	
O43684	2	2	48857	
P20042	3	3	42904	
Q9NXE8	1	1	113706	
Q9Y5L4	2	2	59998	
P54727	6	7	175978	
Q15120	2	2	30943	
A6NDB9	2	2	66058	
P17568	1	1	16297	
Q9NZN4	18	20	243799	
Q96M32	1	1	395900	
O60343	4	4	35227	
P19320	2	2	31575	
Q9H9J2	1	1	4475	
P37231	1	1	227315	
Q8NHP8	1	1	47483	
Q9NQ48	1	1	21963	
Q99623	18	22	353684	
Q9Y490	60	77	259908	
Q8WWV3	1	1	5989	
P00491	14	16	245127	
O95757	6	6	122060	
Q03426	1	1	25605	
P35680	2	2	22573	
P21399	26	31	240173	
Q96CX2	14	17	93332	
P13591	1	1	25363	
Q92905	5	5	78466	
Q9Y617	9	9	117136	
P31689	5	5	66458	
Q99543	1	1	13623	
P15586	4	4	65891	
Q96G03	11	13	104109	
P62314	2	3	108909	
O75348	2	2	58885	
P29034	1	1	38206	
P01903	3	4	191390	
Q53FT3	1	1	8030	
Q9P273	1	1	42092	
Q9NZT2	1	1	21258	
Q6IQ23	1	1	39960	
Q9UM54	9	9	88646	
Q8TC12	3	3	113658	
P09871	4	4	205372	
P53396	28	32	428859	
P05154	6	6	84154	
Q6UB35	1	1	17063	
P34897	17	20	373481	
P39019	8	9	138412	
O75781	3	3	103735	
P61313	4	4	158830	
Q9H4L7	1	1	12263	
O43396	6	6	197212	
P16671	6	8	102264	
Q96GA7	3	3	67218	
P09210	2	2	299508	
Q9UEU0	3	3	46432	
O94973	9	11	75093	
P81605	1	1	22999	
P63244	10	11	256323	
P08493	1	1	17957	
P14324	5	5	119739	
Q9Y678	13	15	104615	
P52789	3	3	53377	
Q9NRX3	3	3	157588	
P12694	11	13	103077	
Q96CN7	3	3	98227	
Q9Y2Q9	2	2	76158	
O95747	5	5	43052	
Q8NFF5	2	2	19278	
P07148	6	7	134983	
P08729	25	30	487159	
P68871	12	23	9854030	
P58546	3	4	109950	
O14907	1	1	17806	
P55083	2	2	28410	
P05067	3	3	26958	
O95219	1	1	15053	
P33176	9	9	134415	
P02790	12	14	1029125	
P17900	4	5	88185	
P05386	2	3	235380	
P49006	1	1	7953	
P02545	45	53	1290535	
Q658Y4	1	1	3378	
Q9UHY7	3	3	128372	
Q9NSK0	1	1	16066	
Q6E0U4	1	1	11638	
Q96HY7	7	7	118276	
P09936	5	6	131564	
Q16650	1	1	27246	
P04062	1	1	10504	
Q13509	2	3	39643	
Q9NX58	1	1	13224	
P25391	53	58	112247	
P24844	3	4	249830	
P18621	3	4	106605	
O15347	2	2	71485	
Q9NVA2	7	9	97148	
Q96PD5	1	1	10048	
O00567	4	4	46144	
Q5T6J7	1	1	12406	
Q9NRN7	1	1	26912	
Q13642	2	2	164204	
Q9Y2Q5	3	3	75033	
O94819	1	1	7712	
O76021	1	1	8744	
P01891	1	1	19899	
P62273	2	2	100067	
Q13576	32	33	110091	
P10412	1	1	34369	
Q5T2T1	3	3	25420	
Q05682	21	22	284305	
P24298	1	1	67652	
Q9HBH5	3	3	56158	
P33121	20	23	262726	
Q9Y5S9	2	2	65874	
P21333	84	115	435273	
P62805	10	13	5105650	
Q8WUK0	1	1	3767	
O00115	2	2	50375	
P04080	3	5	468390	
O15027	2	2	16172	
P08697	5	5	65147	
O00515	5	5	51776	
Q15526	2	2	41949	
P30086	11	20	2350130	
Q9BZE1	1	1	5334	
O15195	1	1	137570	
P50336	5	6	67760	
Q9BYD6	3	3	148324	
P17813	1	1	6407	
P48643	12	14	604772	
Q92930	1	1	18236	
Q9Y3D6	3	3	95556	
Q9UMX5	1	1	57098	
Q8WUI4	1	1	173200	
P49755	4	5	100351	
P52943	4	5	274694	
P35579	92	125	474015	
Q9NTJ5	4	4	22258	
Q9P032	1	1	10511	
P07951	3	5	86793	
Q96DH6	2	2	56981	
P36405	5	5	110523	
Q9BPW8	10	14	147773	
Q8NEZ3	1	2	174023	
P28330	3	3	57158	
P24666	3	3	220785	
Q9H4A4	9	10	164968	
Q04760	8	9	373255	
P29972	1	2	78502	
Q13247	1	1	105747	
P21695	20	25	276724	
Q15418	1	1	35399	
Q9C005	1	1	39364	
Q9BT09	2	2	57516	
P02788	11	11	154339	
O14828	2	2	30524	
Q8TBA6	1	1	117946	
O75431	3	4	161156	
P30419	3	3	65161	
Q9NYL9	7	9	59140	
O00571	5	5	91048	
P41091	1	1	20901	
Q9NZD2	4	4	76380	
P09382	5	5	751593	
P55786	12	14	162786	
Q01085	1	1	18727	
Q9BUP0	3	4	72762	
P00390	15	21	285130	
P49189	11	13	427446	
P62714	1	1	9459	
A1L0T0	2	2	19637	
P42224	16	17	470107	
O60488	1	1	12901	
Q7LG56	3	3	31054	
Q9H3G5	5	5	258496	
P57737	3	3	25721	
P27797	19	23	372526	
Q9Y478	2	2	20823	
P35542	2	2	59762	
O43181	4	4	158538	
Q02543	3	3	65868	
O95782	3	3	43124	
P07738	4	4	96654	
Q9H173	2	2	19097	
Q02218	21	25	315610	
Q6P4F2	1	1	13556	
Q96P70	2	2	30344	
Q16881	7	7	140310	
P38571	1	1	45216	
Q15084	14	19	361661	
P62906	3	3	157841	
P09493	9	10	369801	
Q15942	6	6	97163	
Q9UHL4	9	11	91836	
Q9Y3B7	3	3	67843	
P01764	1	1	78835	
P01040	1	1	31496	
O95347	1	1	401	
P36269	5	5	56836	
Q7Z2W4	2	2	23198	
P19652	5	7	220239	
Q6PEY1	1	1	32253	
Q9Y512	4	4	957117	
Q9UHV9	3	3	208517	
Q13451	8	8	79276	
P62495	6	6	216050	
P14543	28	32	316678	
Q14789	1	1	10520	
Q92621	1	1	3511	
Q08211	21	23	183572	
Q86TU7	2	2	9381	
P69905	17	38	3970450	
Q9H2H8	1	1	39442	
P31513	1	1	10945	
P07900	15	19	385020	
P62244	4	4	137446	
Q9UBU9	1	1	105399	
Q96M96	1	1	13296	
Q92747	1	1	78880	
Q709C8	5	5	36872	
P04275	16	17	198640	
O60664	15	19	116631	
Q9Y6C2	11	11	302549	
P40261	7	10	253509	
Q6IB77	14	16	77679	
O00186	1	1	19075	
Q16186	1	1	11982	
Q53H82	5	5	67563	
Q9P253	1	1	5542	
Q8IX12	2	2	425738	
Q16773	1	1	39996	
Q16666	5	5	37802	
P30101	29	42	963441	
A6NDG6	1	1	60671	
Q15165	5	7	62098	
P00736	1	1	20278	
O15244	1	1	11898	
P06865	9	10	98145	
Q9NQP4	1	1	24440	
P28072	3	3	113996	
P05155	10	11	384180	
Q8IYQ7	1	1	8190	
Q9UQB8	1	1	20189	
Q8NF37	2	2	34814	
P13639	22	28	477820	
O75146	3	3	49038	
Q6P587	7	10	88697	
Q9BTE6	2	2	29111	
Q86U42	1	1	14832	
Q99816	2	2	36491	
Q8WVM8	3	3	38508	
O60218	5	5	90234	
Q6NVY1	16	20	183358	
Q14108	6	7	96928	
Q6P996	3	3	38873	
Q9C0B1	2	2	73870	
Q07954	7	7	54525	
P45973	1	1	14629	
Q9H3N1	1	1	34637	
Q9Y6G9	1	1	14023	
P46087	1	1	124583	
P00748	2	2	90784	
Q9BYF1	2	2	38330	
Q15847	3	4	288776	
Q01082	94	117	426408	
P61457	2	2	216608	
Q96JY6	7	8	90763	
O43491	7	7	125211	
O15399	1	1	48874	
Q96QR8	2	2	24096	
P05162	2	3	181149	
O94874	9	9	107795	
Q15382	1	1	48288	
Q9UBS4	2	3	43524	
Q8IUX7	2	2	39137	
P16112	1	1	20574	
P01008	18	23	134854	
P28332	6	6	89643	
Q9NWS8	1	1	7590	
P02751	54	67	277934	
Q13765	3	4	89891	
P12821	8	9	66792	
Q9P260	1	1	9102	
O75746	8	9	248990	
Q13045	8	8	69787	
Q8WW12	2	2	35034	
O14974	3	3	86444	
Q13813	124	144	429129	
Q8IUD2	1	1	5821	
O95721	2	2	61948	
P22626	17	23	959621	
P78371	22	24	276526	
P50402	1	1	8222	
P16157	16	16	84839	
Q15365	5	6	477618	
Q8IXI2	1	1	72069	
P40926	18	23	521508	
O60716	14	14	158767	
P02792	11	17	324494	
Q9HC35	6	6	136052	
O14949	3	4	66434	
P01023	49	62	710225	
Q14203	11	11	160532	
Q9HB20	1	1	6624	
P30084	14	20	367211	
Q14160	3	3	89241	
P09104	8	13	243423	
O43617	2	2	92284	
P51580	3	3	49642	
P60033	1	1	28978	
Q13492	9	10	119755	
P30273	3	3	58256	
O60494	21	26	237627	
Q0VF96	1	1	19829	
Q16543	5	6	141851	
O00148	1	1	15701	
P62258	16	23	649582	
Q6YN16	11	13	184345	
O00422	1	1	18944	
P43080	1	1	15974	
P51798	1	1	16205	
Q5VZ46	1	1	10395	
Q15424	1	1	48944	
P78330	2	2	188599	
Q9BXP5	4	4	90215	
Q495M3	2	2	13502	
Q9Y2Z4	3	3	32965	
P16930	13	15	223400	
O94788	8	8	112851	
P28070	4	4	190725	
Q8N163	6	6	145574	
Q9Y5X1	4	4	86031	
Q9H2U2	11	16	90113	
P06280	2	2	30651	
O15014	1	1	24894	
P51888	12	16	91799	
P14780	1	1	6303	
P11279	6	8	201928	
Q5VIR6	2	2	17494	
Q9NT62	2	2	48979	
Q9BTW9	2	2	34833	
Q02809	7	7	72203	
P61201	3	3	40027	
O15020	18	19	70849	
P22676	2	2	40788	
P22234	10	13	133027	
Q9P0J0	3	3	68131	
P21397	17	19	77553	
P16615	4	4	46984	
Q01518	16	21	594504	
Q9HAB8	2	2	58757	
Q5JPH6	2	2	41849	
P09497	3	3	83872	
P55084	25	30	638813	
Q92973	3	3	52690	
Q9NQX3	3	3	58336	
P50479	2	2	102275	
P14920	3	3	97751	
Q9UKG1	3	3	16963	
Q32P28	4	4	57439	
P48147	1	2	58993	
P32754	11	13	71449	
Q06830	12	15	1090436	
Q7L5N1	2	2	73238	
O75891	26	30	399883	
Q9BT78	5	5	130365	
Q13126	3	4	79286	
O60749	11	12	210882	
Q14764	37	47	563773	
P02042	9	14	1758763	
Q9HCB6	8	9	166382	
P42574	1	1	13528	
Q7L576	6	6	133029	
Q6IAA8	5	5	78932	
Q92575	1	1	21269	
P29401	22	31	415783	
P11215	1	1	25834	
P63098	1	1	29357	
Q8IVM0	1	1	6755	
P17540	8	8	150437	
Q15018	1	1	230240	
O15540	5	5	1606485	
P84103	6	6	304546	
P06133	1	1	40277	
Q5T2W1	9	11	158074	
Q99757	1	1	44545	
Q93088	19	27	980586	
Q9Y6D6	1	1	7016	
P61626	5	5	97374	
O95967	2	2	25842	
O60220	2	2	67423	
Q9Y606	2	2	235160	
Q8IXB1	1	1	29289	
O00151	10	10	400472	
Q9NZ45	3	4	60197	
P30040	8	9	233764	
Q9UHA4	2	2	166614	
Q8NBJ5	8	9	104485	
Q16658	11	11	374018	
P49407	2	2	30525	
Q8WW59	8	8	120829	
O94875	2	2	90031	
Q6NV75	1	1	99241	
Q15126	3	3	90793	
Q9NYQ3	4	4	52078	
Q9Y259	1	1	16741	
P14854	3	3	87969	
P07954	18	23	178076	
P27482	3	3	64630	
O15511	3	3	141559	
Q02750	1	1	8004	
P49753	1	1	10060	
Q9UNS2	1	1	24279	
Q9HCF6	1	1	65222	
P27816	20	20	180551	
Q15746	7	7	113503	
Q8N6H7	1	1	8129	
Q6UW63	1	1	19053	
Q9NX46	2	2	71509	
P10515	14	15	153884	
P23142	5	5	152114	
P15428	1	1	37351	
Q96I99	21	23	401304	
Q9Y697	2	2	49169	
O43324	2	2	37194	
Q9H9F9	1	1	35804	
Q12904	7	7	111287	
Q86VN1	2	2	61374	
P51553	1	1	18690	
Q8IVS2	1	1	10328	
Q86UY8	1	1	15324	
P39023	3	3	91427	
Q8WTX9	1	1	128599	
P18859	9	11	213787	
A4D1P6	1	1	48487	
Q9BQE5	8	9	183143	
Q9UBG0	1	1	2925	
P14866	10	11	189640	
P00797	1	1	9179	
P01717	1	2	81528	
Q9H1E5	1	1	13806	
Q8WWI1	8	8	53367	
O95563	1	1	23441	
O43294	2	2	49953	
P63151	2	2	73200	
P46108	3	3	72666	
P55008	3	3	55975	
Q14683	2	2	96840	
P05937	15	21	877392	
Q16719	1	1	12775	
Q86UP2	29	29	567362	
Q7KZF4	25	29	595148	
Q9H845	10	11	61113	
Q9BS26	4	4	150866	
A6NNA5	1	1	52031	
P04211	1	1	35835	
Q9HBL0	19	20	221611	
Q9H7C9	3	3	91594	
Q9H269	1	1	12525	
P43034	5	6	78383	
Q13505	4	4	34822	
P08263	1	1	269785	
Q9H6S3	9	10	288588	
P80404	15	20	102378	
P50897	4	4	93533	
Q9NY33	8	8	161380	
P39059	9	10	124972	
Q9NQT8	10	10	72808	
P42677	1	1	11164	
P25705	36	52	1595464	
Q9UL25	4	4	137926	
Q9NWU1	2	2	19512	
Q5T440	3	4	79605	
Q9Y262	4	4	52747	
P55265	4	4	40306	
Q96C00	1	1	18211	
Q02978	17	18	290701	
Q9NV96	1	1	17752	
P32456	1	1	17080	
Q99598	1	1	18517	
Q9P2K5	2	2	132968	
O95299	10	11	176381	
Q9H4G4	1	1	6458	
Q15181	10	15	297184	
P46821	8	9	70321	
Q9Y3F4	5	5	145804	
Q5VXI9	1	1	80775	
P05186	2	2	45965	
P31943	3	3	78834	
O95167	2	2	23548	
P35611	9	10	75080	
O75323	7	8	121043	
Q14165	4	4	93619	
Q9UGB7	3	3	99709	
P23083	1	1	15696	
Q8TD19	1	1	17630	
P62310	1	1	112716	
Q9UKU7	5	5	113278	
P13693	3	3	56577	
Q8N4Q0	1	1	8826	
Q9Y3A6	1	1	39230	
P13667	31	36	265653	
P35080	4	5	23965	
Q9P2F5	1	1	36244	
Q9UH62	1	1	33823	
Q8WXI4	1	1	19622	
Q12797	11	13	100406	
Q15121	2	3	146264	
Q15843	3	4	145132	
Q71UM5	1	2	89397	
Q9H307	1	1	28197	
Q00056	1	1	1122110	
Q6UXS9	1	1	264816	
P27144	15	22	401389	
O43815	1	1	22652	
Q92890	1	1	29608	
P17980	7	9	146994	
Q96CM4	1	1	27941	
Q05397	1	1	81551	
P61221	4	4	53350	
O75884	3	3	52267	
Q6PIU2	7	9	95633	
Q86YB7	5	6	47210	
Q7Z6Z7	5	5	47943	
O00154	4	4	113964	
Q7L266	2	2	183939	
P11498	41	49	220616	
Q9GZT8	2	2	73616	
P12931	1	1	48592	
P21912	11	13	226990	
O14618	2	2	120138	
P49959	1	1	14946	
Q5T447	1	1	92658	
Q9P035	2	2	36628	
P82650	3	3	56087	
P50747	1	1	18628	
P02746	2	2	42381	
P13473	3	3	44575	
O75531	1	1	85962	
P29218	4	4	111949	
Q9BQ52	1	1	3813	
Q16630	2	2	95934	
Q16740	2	2	32048	
P42330	4	4	247359	
P30042	7	10	175455	
O43809	4	4	80354	
Q13435	3	3	61468	
Q5JTJ3	1	1	18687	
P09132	1	1	1633	
Q13526	1	1	97648	
Q99497	10	11	676305	
Q9BTT0	1	1	96498	
Q8NHG7	1	1	25456	
O00757	2	2	177328	
P16152	13	15	269568	
P23193	4	4	104591	
P51690	1	1	25201	
Q13404	1	1	3996	
P62942	3	4	335734	
Q7L0Y3	3	3	84010	
O60784	4	4	75767	
Q01433	1	1	41495	
O94986	1	1	1001020	
Q7Z4W1	6	6	162592	
P83111	3	3	188092	
P29350	3	3	42704	
Q92520	1	1	6637	
P56192	2	2	53737	
P08571	3	5	69694	
P02749	3	3	202307	
Q8WXX5	1	1	21297	
Q6DD88	1	1	22004	
P55060	7	7	96505	
P34931	1	1	51718	
P42785	4	4	228877	
P60903	3	4	790110	
Q9UIA9	1	1	18730	
P09661	3	3	87742	
Q12792	6	7	43327	
P14923	7	7	330376	
Q9P2R7	10	11	197954	
P31153	6	7	207331	
P18124	8	10	181215	
O96000	3	3	55601	
P60510	1	1	25628	
Q8IYU8	2	2	36194	
P08107	13	19	835252	
P15531	4	5	154343	
Q9NSD9	7	7	121883	
Q9Y2X3	7	7	153029	
Q93083	1	1	651	
Q03518	5	5	33283	
O60826	3	3	264895	
P56134	3	3	110884	
P53007	4	4	137525	
P35527	14	14	210239	
Q9H6V9	1	1	38742	
Q15008	1	1	25673	
P00739	2	2	29473	
P36543	8	9	164829	
Q9NRZ7	2	2	49476	
Q9ULC6	2	2	29870	
P55789	1	1	4569	
P12644	1	1	955357	
P49914	1	1	11387	
Q06278	8	8	267466	
Q9UKY7	2	2	63521	
P61586	1	1	11241	
P61289	4	4	49230	
Q8NBS9	12	12	228787	
Q9Y2V2	3	4	130722	
P25325	9	9	232932	
Q06033	5	6	188178	
Q9Y376	5	5	62035	
P49789	3	4	51501	
Q9Y4K1	5	5	45241	
Q9HBG4	22	23	104863	
Q9Y3I0	8	8	159156	
Q8IZP0	1	1	9163	
P42126	6	6	147240	
Q8NI22	1	1	32453	
O15371	1	1	7588	
Q16790	5	6	94429	
O94832	1	1	9171	
P59103	1	1	370	
P26599	10	14	306460	
Q6GMR7	1	1	44821	
P52758	7	10	236970	
P24534	4	4	215144	
P01859	4	5	1067326	
Q13155	2	2	55130	
O75352	1	1	4495	
O43768	1	1	7456	
P12109	19	24	299529	
Q969L2	1	1	14900	
Q9P219	1	1	26375	
Q9H4A3	1	1	121421	
Q86UX2	5	5	67324	
Q53T59	1	1	90573	
P07996	15	16	728056	
P48163	6	6	71849	
Q9UBQ5	3	3	85046	
Q14103	4	4	175257	
P62841	1	1	9011	
P12004	3	3	76261	
Q8TAE8	1	1	73911	
P30613	17	21	262725	
Q562E7	1	1	43354	
Q8NCW5	3	4	73569	
P50991	11	11	345866	
Q96CT7	2	2	54714	
Q96HY6	3	4	25627	
P62081	7	8	254149	
P23396	15	16	272762	
Q9NYL4	1	1	18088	
Q96BY6	1	1	25119	
P0CG38	1	1	60836	
O95487	1	1	3799	
P15313	14	18	278384	
Q86V81	2	3	103775	
Q6NUK1	10	10	171072	
P0DJI9	1	2	85556	
Q96KP4	27	44	2105568	
O43451	10	12	65291	
P11586	26	27	270774	
P14209	1	1	10820	
P28288	2	2	16153	
P46379	1	1	21441	
Q8TEX9	2	2	12281	
P62070	1	1	5007	
Q9Y5J7	2	2	231909	
Q13885	1	1	29998	
Q3L8U1	1	1	19013	
Q9H7Z7	13	14	117835	
P45880	9	10	205036	
Q96AP7	2	2	31156	
Q9C0D6	1	1	13200	
Q96TC7	1	1	54499	
Q9Y3E7	1	1	385678	
Q08722	1	1	31383	
Q96HD9	4	4	79105	
P01034	1	1	40920	
Q9P0M6	2	2	73539	
A6NJG2	1	1	37368	
O75915	3	3	112348	
P60468	1	1	5669	
P04040	26	34	330696	
Q15020	2	2	65592	
A0PJK1	1	1	290084	
P13804	15	21	250792	
Q9NP81	5	5	63071	
Q14677	7	7	112232	
P61020	3	3	188004	
Q8NBU5	1	1	37794	
P01871	4	4	316271	
O75153	1	1	25116	
O60271	11	11	182233	
Q86UX7	3	3	28843	
P43652	4	5	114479	
P08621	5	5	127845	
P09417	8	10	265490	
Q9Y333	3	4	187559	
P01780	1	1	97852	
Q9NZJ5	1	1	14065	
Q9Y2T2	2	2	44177	
Q9Y394	3	4	75694	
Q9UI17	28	32	226669	
Q13405	3	3	20516	
P62995	3	4	110957	
Q9NUL5	1	1	51342	
O00534	2	2	56339	
P00966	23	26	708094	
P00558	24	34	2792030	
Q13347	3	3	61333	
Q99963	1	1	22370	
P34896	14	18	460591	
P12235	3	3	95398	
Q9Y2Y0	1	1	8893	
O60762	4	4	36450	
P13798	13	13	213655	
Q9HD45	1	1	37827	
P62910	1	1	1364	
O00391	1	1	152999	
P36776	21	23	87777	
Q07837	2	2	48803	
Q8WV74	1	1	12056	
Q12874	2	2	25709	
O60502	2	2	182434	
Q96IJ6	2	2	68210	
Q9Y6I3	2	2	52392	
P46736	1	1	68415	
P11171	2	2	25901	
O95881	2	2	99331	
O75309	16	18	96413	
P52566	7	7	187393	
P07737	11	14	1470087	
P40855	1	1	8757	
Q4G176	7	9	174916	
Q96S52	1	1	3789	
O43676	2	2	128077	
Q969H0	1	1	33237	
O95571	2	2	52918	
P36959	1	1	4955	
O60506	7	8	159178	
Q14126	1	1	15940	
O75223	5	5	169707	
Q16891	24	31	143398	
Q9UJ70	7	8	135955	
O14791	2	2	19466	
Q4U2R8	2	2	37995	
O60256	4	4	105505	
Q15369	1	1	9395	
Q6ZVF9	1	1	29494	
P61006	1	2	41272	
P17858	14	21	426723	
P68036	6	6	81978	
Q9Y277	6	8	91303	
O75351	1	1	11571	
P53597	8	11	253347	
P05114	3	4	53478	
Q01740	7	7	138774	
