prot	pepSeqNum	tgNum	guot_L130410_034_SW
Q14195	2	2	56061
Q9Y3D2	2	2	90814
Q96EP5	2	2	30966
Q9UEW8	2	2	8206
P29728	1	1	6196
P06576	42	64	746936
O75935	2	2	78613
O00170	2	2	50953
O43765	2	2	29146
Q99584	4	5	100562
P36551	1	1	25477
Q10471	3	3	63236
Q9UDR5	7	8	64350
Q9UNE7	3	3	77760
P31431	1	1	24931
Q8N1F7	3	3	63372
Q96HS1	2	2	61348
Q14651	8	9	94517
P12532	6	6	58756
O75955	5	5	98312
Q9GZM7	7	9	190352
Q9NUQ9	5	5	97289
Q9HB71	3	3	72935
P35580	38	45	161987
Q9GZZ9	2	2	36993
Q9Y6B6	1	1	29078
Q9UJW2	8	9	135993
P24752	23	34	262453
Q8WZ42	1	1	161891
Q9BRA2	3	3	140217
O96007	1	1	8994
Q9Y3B3	2	2	60101
Q9HCJ6	2	3	31937
Q96HC4	7	8	106106
P01860	2	2	52460
Q9ULZ3	7	7	81038
P54136	9	9	92629
P06753	4	6	354017
Q8NF91	2	2	34143
P54819	15	20	590682
Q9UNH7	2	2	75223
Q9BV38	1	1	28662
Q53SF7	4	4	55473
P51659	16	17	244526
P78527	28	28	384699
Q9HCH5	1	1	5568
O95336	9	10	190683
Q5JU85	1	1	4900
P04264	24	26	144383
Q9NP97	1	1	18675
P15153	2	2	68325
Q00796	9	10	84866
Q92820	9	13	65868
Q15274	5	6	254382
Q8WVY7	1	1	16548
P08238	11	15	894858
Q5TDH0	3	3	37721
Q9UN36	5	5	57400
P13797	11	12	116716
O94886	1	1	9837
Q5TEZ5	1	1	37558
Q9HBJ8	1	1	4408
Q9UIQ6	3	3	21045
Q9BR76	4	4	54953
Q86W92	1	1	40496
P31930	16	20	181655
A0AVI2	1	1	60271
Q06323	11	12	294758
Q9BVG4	4	4	107869
P31939	20	22	236586
Q969X5	8	8	169248
P30041	17	23	796397
P50993	1	1	5446
P11234	3	3	54888
O75347	6	6	186885
P63104	9	14	1022543
Q14247	10	10	148062
P82979	1	1	56321
Q96LD4	1	1	2023
Q99798	40	61	231435
P19338	22	23	443405
P20290	1	1	27075
P20618	7	7	218415
Q6P179	1	1	27419
Q92817	3	3	243880
P57105	3	3	60467
P48735	19	25	191598
O76094	4	4	89004
P23297	1	2	47123
P02671	30	41	102362
P61158	7	7	223044
P60953	4	6	95826
P80365	5	6	38596
P62861	2	2	108637
P56199	3	3	68936
O75436	5	5	122488
Q96LB4	2	2	22928
Q9GZT3	5	6	125785
Q8NFV4	10	13	93461
P37837	14	14	485213
P17987	15	18	326840
Q96C86	4	5	40937
P35908	15	16	75687
Q9Y2R5	1	1	16599
Q96CG8	2	2	206738
P62195	9	9	56748
Q9Y6N5	13	13	81817
O15372	4	4	51128
Q9UHD8	13	13	129128
P05452	1	2	24281
P51884	13	17	630289
P13284	1	2	35370
P42285	2	2	103807
Q9BVK6	2	2	45559
Q9H223	11	11	65552
P51801	3	5	32789
Q15907	2	3	76559
Q01449	1	1	4314
Q6P4A8	6	6	68482
Q8N370	1	1	4124
O95154	7	10	106711
P0DJI8	3	4	209657
P09234	1	1	22795
Q00059	3	3	103865
P62937	10	13	1178421
Q96JB5	1	1	6971
Q6ZWH5	1	1	9731
Q9BWS9	1	1	3209
P15121	16	21	518759
Q13263	8	8	180056
P61978	14	19	473239
Q5VWJ9	1	1	5071
Q07157	6	6	61364
P62249	8	8	308896
Q9H6R7	1	1	38406
Q10589	1	1	55397
Q14116	2	2	82999
Q9H3K6	1	1	37066
O95394	4	4	74301
Q86UW7	1	1	38868
Q9ULD0	22	25	162195
P62917	2	2	173853
Q13011	13	14	303108
Q9NR19	9	10	86736
P83916	1	1	10477
Q9UBR2	4	4	210907
Q8WWM9	1	1	12946
P17931	8	13	276684
Q8TBX8	1	1	26460
O75923	2	2	29016
P04003	3	3	64444
P48681	15	16	149933
P49915	3	3	118248
O15533	4	4	40784
P27338	10	13	123695
P53990	4	4	58370
P46939	4	4	32778
Q9UHB9	3	3	94879
Q9UKL6	1	1	54404
Q9BQ61	2	2	17646
P0C0L5	3	3	51695
Q96S37	1	1	45381
P21810	13	20	686666
Q8IXM2	1	1	17254
O95834	6	6	119267
P61019	5	6	60085
Q8N8R3	1	1	18880
Q9P0V9	2	2	31234
Q8TB96	1	1	8580
Q92572	1	1	29982
Q8TCS8	6	6	83881
Q8NI60	2	2	44606
Q8TDX5	1	1	21171
O75663	1	1	12223
Q08170	4	4	43590
Q9Y263	1	1	2025
P42766	1	1	14588
Q969T9	1	1	18464
Q13057	9	10	99370
P02652	7	8	245775
Q12802	2	2	118336
O95168	3	4	269810
P62888	2	2	148810
P40616	2	2	69541
P78324	1	1	2461
P36969	5	5	75678
Q8N766	3	3	75499
O43684	2	2	40961
P20042	3	3	45637
Q9NXE8	1	1	81409
Q9Y5L4	2	2	61894
P54727	6	7	137802
Q15120	2	2	32532
A6NDB9	2	2	65920
P17568	1	1	16896
Q9NZN4	18	20	294168
Q96M32	1	1	60661
O60343	4	4	29980
P19320	2	2	39096
Q9H9J2	1	1	5414
P37231	1	1	331477
Q8NHP8	1	1	38987
Q9NQ48	1	1	22458
Q99623	18	22	367192
Q9Y490	60	77	202258
Q8WWV3	1	1	9859
P00491	14	16	123378
O95757	6	6	145518
Q03426	1	1	26635
P35680	2	2	13737
P21399	26	31	146834
Q96CX2	14	17	129841
P13591	1	1	21332
Q92905	5	5	54363
Q9Y617	9	9	153983
P31689	5	5	71574
Q99543	1	1	600
P15586	4	4	120585
Q96G03	11	13	95473
P62314	2	3	112523
O75348	2	2	42179
P29034	1	1	23062
P01903	3	4	164714
Q53FT3	1	1	5540
Q9P273	1	1	24286
Q9NZT2	1	1	20887
Q6IQ23	1	1	26644
Q9UM54	9	9	84091
Q8TC12	3	3	109171
P09871	4	4	134250
P53396	28	32	313878
P05154	6	6	62089
Q6UB35	1	1	22448
P34897	17	20	266056
P39019	8	9	161902
O75781	3	3	174315
P61313	4	4	217908
Q9H4L7	1	1	9437
O43396	6	6	138864
P16671	6	8	72118
Q96GA7	3	3	44792
P09210	2	2	114598
Q9UEU0	3	3	33710
O94973	9	11	68920
P81605	1	1	10882
P63244	10	11	295189
P08493	1	1	33607
P14324	5	5	90428
Q9Y678	13	15	73514
P52789	3	3	56547
Q9NRX3	3	3	129288
P12694	11	13	72562
Q96CN7	3	3	56223
Q9Y2Q9	2	2	153350
O95747	5	5	32350
Q8NFF5	2	2	13582
P07148	6	7	30460
P08729	25	30	284044
P68871	12	23	3760260
P58546	3	4	143579
O14907	1	1	16568
P55083	2	2	25504
P05067	3	3	31702
O95219	1	1	47895
P33176	9	9	148379
P02790	12	14	856215
P17900	4	5	77281
P05386	2	3	127252
P49006	1	1	10323
P02545	45	53	451686
Q658Y4	1	1	3664
Q9UHY7	3	3	88695
Q9NSK0	1	1	4124
Q6E0U4	1	1	9745
Q96HY7	7	7	69871
P09936	5	6	679048
Q16650	1	1	35815
P04062	1	1	11805
Q13509	2	3	50608
Q9NX58	1	1	4681
P25391	53	58	149778
P24844	3	4	262721
P18621	3	4	238984
O15347	2	2	52841
Q9NVA2	7	9	90893
Q96PD5	1	1	4720
O00567	4	4	62751
Q5T6J7	1	1	6861
Q9NRN7	1	1	23189
Q13642	2	2	152814
Q9Y2Q5	3	3	70179
O94819	1	1	4821
O76021	1	1	17445
P01891	1	1	15725
P62273	2	2	60516
Q13576	32	33	67266
P10412	1	1	26777
Q5T2T1	3	3	19300
Q05682	21	22	308015
P24298	1	1	50780
Q9HBH5	3	3	77957
P33121	20	23	204677
Q9Y5S9	2	2	60855
P21333	84	115	622060
P62805	10	13	3683121
Q8WUK0	1	1	2995
O00115	2	2	68057
P04080	3	5	221336
O15027	2	2	15418
P08697	5	5	33209
O00515	5	5	38539
Q15526	2	2	34343
P30086	11	20	818698
Q9BZE1	1	1	7499
O15195	1	1	59491
P50336	5	6	58781
Q9BYD6	3	3	34025
P17813	1	1	5922
P48643	12	14	326264
Q92930	1	1	15282
Q9Y3D6	3	3	84837
Q9UMX5	1	1	44281
Q8WUI4	1	1	204204
P49755	4	5	79005
P52943	4	5	105174
P35579	92	125	734816
Q9NTJ5	4	4	28257
Q9P032	1	1	10643
P07951	3	5	179007
Q96DH6	2	2	45462
P36405	5	5	79301
Q9BPW8	10	14	182765
Q8NEZ3	1	2	183120
P28330	3	3	16098
P24666	3	3	162275
Q9H4A4	9	10	82389
Q04760	8	9	284175
P29972	1	2	91565
Q13247	1	1	45867
P21695	20	25	114785
Q15418	1	1	34040
Q9C005	1	1	47544
Q9BT09	2	2	50486
P02788	11	11	196231
O14828	2	2	23794
Q8TBA6	1	1	87536
O75431	3	4	118409
P30419	3	3	54789
Q9NYL9	7	9	62689
O00571	5	5	78819
P41091	1	1	18975
Q9NZD2	4	4	83712
P09382	5	5	614262
P55786	12	14	210413
Q01085	1	1	17897
Q9BUP0	3	4	33722
P00390	15	21	144286
P49189	11	13	71435
P62714	1	1	8251
A1L0T0	2	2	14276
P42224	16	17	660296
O60488	1	1	11879
Q7LG56	3	3	33576
Q9H3G5	5	5	230636
P57737	3	3	29885
P27797	19	23	533670
Q9Y478	2	2	23537
P35542	2	2	39836
O43181	4	4	97047
Q02543	3	3	86631
O95782	3	3	46137
P07738	4	4	83101
Q9H173	2	2	24623
Q02218	21	25	154971
Q6P4F2	1	1	15019
Q96P70	2	2	24078
Q16881	7	7	194825
P38571	1	1	34302
Q15084	14	19	468586
P62906	3	3	226252
P09493	9	10	510305
Q15942	6	6	137429
Q9UHL4	9	11	86803
Q9Y3B7	3	3	83417
P01764	1	1	50485
P01040	1	1	30313
O95347	1	1	270
P36269	5	5	90595
Q7Z2W4	2	2	23774
P19652	5	7	184103
Q6PEY1	1	1	143368
Q9Y512	4	4	454136
Q9UHV9	3	3	79499
Q13451	8	8	128660
P62495	6	6	164941
P14543	28	32	172158
Q14789	1	1	7367
Q92621	1	1	2732
Q08211	21	23	191408
Q86TU7	2	2	6616
P69905	17	38	2549011
Q9H2H8	1	1	20001
P31513	1	1	28698
P07900	15	19	519134
P62244	4	4	191149
Q9UBU9	1	1	28941
Q96M96	1	1	11716
Q92747	1	1	33709
Q709C8	5	5	35846
P04275	16	17	68820
O60664	15	19	102075
Q9Y6C2	11	11	340856
P40261	7	10	992699
Q6IB77	14	16	168258
O00186	1	1	18700
Q16186	1	1	10574
Q53H82	5	5	68409
Q9P253	1	1	4874
Q8IX12	2	2	279676
Q16773	1	1	13354
Q16666	5	5	44478
P30101	29	42	622730
A6NDG6	1	1	44114
Q15165	5	7	50032
P00736	1	1	26929
O15244	1	1	13734
P06865	9	10	109538
Q9NQP4	1	1	24111
P28072	3	3	98867
P05155	10	11	269061
Q8IYQ7	1	1	8939
Q9UQB8	1	1	13344
Q8NF37	2	2	8054
P13639	22	28	672335
O75146	3	3	32259
Q6P587	7	10	66627
Q9BTE6	2	2	17126
Q86U42	1	1	136332
Q99816	2	2	26224
Q8WVM8	3	3	17594
O60218	5	5	428221
Q6NVY1	16	20	40778
Q14108	6	7	76091
Q6P996	3	3	35359
Q9C0B1	2	2	52139
Q07954	7	7	52915
P45973	1	1	23988
Q9H3N1	1	1	16662
Q9Y6G9	1	1	9393
P46087	1	1	175643
P00748	2	2	82058
Q9BYF1	2	2	22799
Q15847	3	4	25842
Q01082	94	117	373257
P61457	2	2	140304
Q96JY6	7	8	72486
O43491	7	7	89974
O15399	1	1	27946
Q96QR8	2	2	21485
P05162	2	3	46269
O94874	9	9	109844
Q15382	1	1	33053
Q9UBS4	2	3	60515
Q8IUX7	2	2	86683
P16112	1	1	16565
P01008	18	23	99988
P28332	6	6	90327
Q9NWS8	1	1	10618
P02751	54	67	466673
Q13765	3	4	91541
P12821	8	9	48034
Q9P260	1	1	4862
O75746	8	9	204444
Q13045	8	8	56344
Q8WW12	2	2	23872
O14974	3	3	87929
Q13813	124	144	241322
Q8IUD2	1	1	4123
O95721	2	2	41863
P22626	17	23	674690
P78371	22	24	234024
P50402	1	1	5745
P16157	16	16	79143
Q15365	5	6	333021
Q8IXI2	1	1	106294
P40926	18	23	529761
O60716	14	14	91660
P02792	11	17	453283
Q9HC35	6	6	79830
O14949	3	4	74713
P01023	49	62	268276
Q14203	11	11	173225
Q9HB20	1	1	4739
P30084	14	20	307163
Q14160	3	3	80458
P09104	8	13	129488
O43617	2	2	87784
P51580	3	3	51926
P60033	1	1	37386
Q13492	9	10	50039
P30273	3	3	39767
O60494	21	26	98880
Q0VF96	1	1	18469
Q16543	5	6	117277
O00148	1	1	11786
P62258	16	23	281656
Q6YN16	11	13	95307
O00422	1	1	9330
P43080	1	1	10098
P51798	1	1	16809
Q5VZ46	1	1	34735
Q15424	1	1	42060
P78330	2	2	88198
Q9BXP5	4	4	81534
Q495M3	2	2	14271
Q9Y2Z4	3	3	23725
P16930	13	15	111323
O94788	8	8	80286
P28070	4	4	114767
Q8N163	6	6	112924
Q9Y5X1	4	4	64686
Q9H2U2	11	16	57194
P06280	2	2	33087
O15014	1	1	15712
P51888	12	16	645763
P14780	1	1	14212
P11279	6	8	126222
Q5VIR6	2	2	16945
Q9NT62	2	2	36980
Q9BTW9	2	2	26600
Q02809	7	7	97019
P61201	3	3	30158
O15020	18	19	67366
P22676	2	2	42779
P22234	10	13	162939
Q9P0J0	3	3	86047
P21397	17	19	268709
P16615	4	4	46811
Q01518	16	21	508426
Q9HAB8	2	2	48054
Q5JPH6	2	2	58633
P09497	3	3	135394
P55084	25	30	404314
Q92973	3	3	58315
Q9NQX3	3	3	34201
P50479	2	2	65449
P14920	3	3	65495
Q9UKG1	3	3	10680
Q32P28	4	4	43535
P48147	1	2	41820
P32754	11	13	74576
Q06830	12	15	1235187
Q7L5N1	2	2	53888
O75891	26	30	266309
Q9BT78	5	5	132987
Q13126	3	4	55579
O60749	11	12	182375
Q14764	37	47	325919
P02042	9	14	254267
Q9HCB6	8	9	123542
P42574	1	1	14310
Q7L576	6	6	103550
Q6IAA8	5	5	83966
Q92575	1	1	22549
P29401	22	31	525223
P11215	1	1	22579
P63098	1	1	22227
Q8IVM0	1	1	10873
P17540	8	8	137258
Q15018	1	1	155558
O15540	5	5	87142
P84103	6	6	273244
P06133	1	1	15676
Q5T2W1	9	11	68661
Q99757	1	1	43239
Q93088	19	27	44055
Q9Y6D6	1	1	7914
P61626	5	5	66811
O95967	2	2	69059
O60220	2	2	52593
Q9Y606	2	2	184785
Q8IXB1	1	1	13345
O00151	10	10	281898
Q9NZ45	3	4	85221
P30040	8	9	266342
Q9UHA4	2	2	119449
Q8NBJ5	8	9	125316
Q16658	11	11	101993
P49407	2	2	27307
Q8WW59	8	8	74209
O94875	2	2	31884
Q6NV75	1	1	99262
Q15126	3	3	48751
Q9NYQ3	4	4	71912
Q9Y259	1	1	10192
P14854	3	3	71983
P07954	18	23	143758
P27482	3	3	77063
O15511	3	3	222137
Q02750	1	1	4297
P49753	1	1	5088
Q9UNS2	1	1	14433
Q9HCF6	1	1	20593
P27816	20	20	169566
Q15746	7	7	113233
Q8N6H7	1	1	7613
Q6UW63	1	1	17095
Q9NX46	2	2	59208
P10515	14	15	100949
P23142	5	5	229188
P15428	1	1	18674
Q96I99	21	23	201244
Q9Y697	2	2	58429
O43324	2	2	38002
Q9H9F9	1	1	35977
Q12904	7	7	99547
Q86VN1	2	2	31484
P51553	1	1	14354
Q8IVS2	1	1	7678
Q86UY8	1	1	12214
P39023	3	3	143708
Q8WTX9	1	1	114936
P18859	9	11	209859
A4D1P6	1	1	31695
Q9BQE5	8	9	138284
Q9UBG0	1	1	4573
P14866	10	11	177634
P00797	1	1	5818
P01717	1	2	59628
Q9H1E5	1	1	7088
Q8WWI1	8	8	30332
O95563	1	1	21705
O43294	2	2	58240
P63151	2	2	46926
P46108	3	3	38751
P55008	3	3	78778
Q14683	2	2	75388
P05937	15	21	82635
Q16719	1	1	11297
Q86UP2	29	29	127348
Q7KZF4	25	29	240679
Q9H845	10	11	62971
Q9BS26	4	4	126133
A6NNA5	1	1	69993
P04211	1	1	50901
Q9HBL0	19	20	106473
Q9H7C9	3	3	54681
Q9H269	1	1	10493
P43034	5	6	64987
Q13505	4	4	33715
P08263	1	1	62535
Q9H6S3	9	10	218724
P80404	15	20	65432
P50897	4	4	84136
Q9NY33	8	8	129359
P39059	9	10	143308
Q9NQT8	10	10	61904
P42677	1	1	19980
P25705	36	52	1005267
Q9UL25	4	4	92469
Q9NWU1	2	2	20553
Q5T440	3	4	49112
Q9Y262	4	4	53279
P55265	4	4	40059
Q96C00	1	1	48920
Q02978	17	18	164385
Q9NV96	1	1	14189
P32456	1	1	29450
Q99598	1	1	4102
Q9P2K5	2	2	67453
O95299	10	11	117045
Q9H4G4	1	1	13208
Q15181	10	15	278546
P46821	8	9	51792
Q9Y3F4	5	5	107512
Q5VXI9	1	1	37386
P05186	2	2	16982
P31943	3	3	100485
O95167	2	2	16829
P35611	9	10	62226
O75323	7	8	134023
Q14165	4	4	94270
Q9UGB7	3	3	76566
P23083	1	1	10680
Q8TD19	1	1	15839
P62310	1	1	91634
Q9UKU7	5	5	88863
P13693	3	3	88356
Q8N4Q0	1	1	6925
Q9Y3A6	1	1	19625
P13667	31	36	355315
P35080	4	5	114689
Q9P2F5	1	1	62658
Q9UH62	1	1	25493
Q8WXI4	1	1	14942
Q12797	11	13	66299
Q15121	2	3	77258
Q15843	3	4	108628
Q71UM5	1	2	92285
Q9H307	1	1	25217
Q00056	1	1	592354
Q6UXS9	1	1	135346
P27144	15	22	278726
O43815	1	1	15194
Q92890	1	1	25537
P17980	7	9	93170
Q96CM4	1	1	20873
Q05397	1	1	58160
P61221	4	4	49943
O75884	3	3	57340
Q6PIU2	7	9	90680
Q86YB7	5	6	31264
Q7Z6Z7	5	5	36230
O00154	4	4	95138
Q7L266	2	2	60221
P11498	41	49	143353
Q9GZT8	2	2	55747
P12931	1	1	28255
P21912	11	13	186105
O14618	2	2	54591
P49959	1	1	12080
Q5T447	1	1	83022
Q9P035	2	2	29119
P82650	3	3	53725
P50747	1	1	39081
P02746	2	2	95809
P13473	3	3	52224
O75531	1	1	77407
P29218	4	4	125789
Q9BQ52	1	1	3088
Q16630	2	2	89578
Q16740	2	2	22857
P42330	4	4	164916
P30042	7	10	148205
O43809	4	4	68752
Q13435	3	3	54302
Q5JTJ3	1	1	18190
P09132	1	1	1000
Q13526	1	1	85906
Q99497	10	11	425859
Q9BTT0	1	1	83922
Q8NHG7	1	1	16988
O00757	2	2	34128
P16152	13	15	275367
P23193	4	4	71680
P51690	1	1	16045
Q13404	1	1	2877
P62942	3	4	335465
Q7L0Y3	3	3	49665
O60784	4	4	40747
Q01433	1	1	31072
O94986	1	1	724566
Q7Z4W1	6	6	174097
P83111	3	3	67486
P29350	3	3	59973
Q92520	1	1	6013
P56192	2	2	61311
P08571	3	5	50819
P02749	3	3	127229
Q8WXX5	1	1	16411
Q6DD88	1	1	12910
P55060	7	7	99097
P34931	1	1	46743
P42785	4	4	179180
P60903	3	4	424050
Q9UIA9	1	1	21058
P09661	3	3	69953
Q12792	6	7	39937
P14923	7	7	142451
Q9P2R7	10	11	170561
P31153	6	7	116689
P18124	8	10	235377
O96000	3	3	59888
P60510	1	1	23863
Q8IYU8	2	2	43491
P08107	13	19	684906
P15531	4	5	196558
Q9NSD9	7	7	69229
Q9Y2X3	7	7	99445
Q93083	1	1	650
Q03518	5	5	35662
O60826	3	3	47668
P56134	3	3	178648
P53007	4	4	77859
P35527	14	14	138471
Q9H6V9	1	1	15884
Q15008	1	1	24269
P00739	2	2	19529
P36543	8	9	122565
Q9NRZ7	2	2	39260
Q9ULC6	2	2	20012
P55789	1	1	4629
P12644	1	1	1849520
P49914	1	1	8994
Q06278	8	8	184709
Q9UKY7	2	2	66590
P61586	1	1	5876
P61289	4	4	100317
Q8NBS9	12	12	214548
Q9Y2V2	3	4	166090
P25325	9	9	165618
Q06033	5	6	167466
Q9Y376	5	5	47200
P49789	3	4	71241
Q9Y4K1	5	5	22686
Q9HBG4	22	23	89472
Q9Y3I0	8	8	126601
Q8IZP0	1	1	15316
P42126	6	6	132293
Q8NI22	1	1	25573
O15371	1	1	5984
Q16790	5	6	76960
O94832	1	1	10687
P59103	1	1	380
P26599	10	14	237949
Q6GMR7	1	1	34538
P52758	7	10	157590
P24534	4	4	210377
P01859	4	5	487149
Q13155	2	2	45228
O75352	1	1	4515
O43768	1	1	3253
P12109	19	24	483001
Q969L2	1	1	35620
Q9P219	1	1	128141
Q9H4A3	1	1	53875
Q86UX2	5	5	102368
Q53T59	1	1	47782
P07996	15	16	453129
P48163	6	6	103267
Q9UBQ5	3	3	74430
Q14103	4	4	257211
P62841	1	1	6478
P12004	3	3	89507
Q8TAE8	1	1	80498
P30613	17	21	43395
Q562E7	1	1	7746
Q8NCW5	3	4	39836
P50991	11	11	248724
Q96CT7	2	2	57395
Q96HY6	3	4	20727
P62081	7	8	232535
P23396	15	16	283972
Q9NYL4	1	1	17722
Q96BY6	1	1	19093
P0CG38	1	1	27815
O95487	1	1	3079
P15313	14	18	166266
Q86V81	2	3	75942
Q6NUK1	10	10	134978
P0DJI9	1	2	63226
Q96KP4	27	44	749678
O43451	10	12	47906
P11586	26	27	93151
P14209	1	1	10183
P28288	2	2	14937
P46379	1	1	18642
Q8TEX9	2	2	13670
P62070	1	1	3163
Q9Y5J7	2	2	99039
Q13885	1	1	26566
Q3L8U1	1	1	20228
Q9H7Z7	13	14	76672
P45880	9	10	225019
Q96AP7	2	2	21984
Q9C0D6	1	1	9116
Q96TC7	1	1	32900
Q9Y3E7	1	1	225200
Q08722	1	1	19575
Q96HD9	4	4	46649
P01034	1	1	37553
Q9P0M6	2	2	52682
A6NJG2	1	1	18307
O75915	3	3	74433
P60468	1	1	8180
P04040	26	34	157213
Q15020	2	2	56471
A0PJK1	1	1	160553
P13804	15	21	105333
Q9NP81	5	5	55478
Q14677	7	7	99131
P61020	3	3	121484
Q8NBU5	1	1	24130
P01871	4	4	149052
O75153	1	1	29552
O60271	11	11	131146
Q86UX7	3	3	94462
P43652	4	5	105843
P08621	5	5	110915
P09417	8	10	124135
Q9Y333	3	4	142152
P01780	1	1	38775
Q9NZJ5	1	1	29699
Q9Y2T2	2	2	31555
Q9Y394	3	4	52275
Q9UI17	28	32	84589
Q13405	3	3	21662
P62995	3	4	143868
Q9NUL5	1	1	34322
O00534	2	2	55693
P00966	23	26	156771
P00558	24	34	1789506
Q13347	3	3	62726
Q99963	1	1	13282
P34896	14	18	221721
P12235	3	3	90002
Q9Y2Y0	1	1	7155
O60762	4	4	24151
P13798	13	13	219370
Q9HD45	1	1	17831
P62910	1	1	2783
O00391	1	1	60876
P36776	21	23	87200
Q07837	2	2	44380
Q8WV74	1	1	8241
Q12874	2	2	24036
O60502	2	2	35639
Q96IJ6	2	2	34954
Q9Y6I3	2	2	47107
P46736	1	1	88793
P11171	2	2	18566
O95881	2	2	105456
O75309	16	18	70824
P52566	7	7	226507
P07737	11	14	1199715
P40855	1	1	7424
Q4G176	7	9	162373
Q96S52	1	1	3040
O43676	2	2	117322
Q969H0	1	1	29378
O95571	2	2	54161
P36959	1	1	2382
O60506	7	8	184722
Q14126	1	1	9087
O75223	5	5	62400
Q16891	24	31	117311
Q9UJ70	7	8	129918
O14791	2	2	12214
Q4U2R8	2	2	35685
O60256	4	4	40918
Q15369	1	1	13910
Q6ZVF9	1	1	33657
P61006	1	2	22927
P17858	14	21	420599
P68036	6	6	87059
Q9Y277	6	8	64302
O75351	1	1	9090
P53597	8	11	264593
P05114	3	4	28873
Q01740	7	7	130666
Q15370	4	5	158187
P62753	5	5	270910
P30085	7	8	321261
P52597	6	8	112451
Q9H0N0	1	1	12210
P01834	8	11	1029051
O95436	1	1	5920
Q86VU5	1	1	1720
Q9NP58	1	1	709390
Q4VC31	2	2	88158
Q9H2M3	11	11	129990
Q08380	9	11	160693
Q9UEY8	9	9	50039
O95870	1	1	11379
Q9BY32	1	1	12321
P20645	3	4	234695
O95372	1	1	11181
Q9UK22	1	1	17969
O95400	1	1	15290
P30048	8	10	651102
Q13418	5	5	26481
Q9BW30	2	2	32401
Q9HAV7	3	3	151397
Q15428	2	2	18814
P39060	21	31	471050
P60660	7	8	919586
Q9UH65	2	2	38553
Q15118	2	2	85148
Q8N4P3	1	1	5529
Q9P0J1	4	4	47260
Q04917	8	11	136054
Q9Y2J2	13	14	177752
Q96PE7	1	1	32025
Q9Y4F1	11	11	75455
Q9H3Y8	1	1	260
Q8IZ83	4	4	49504
Q9NWV8	1	1	7493
O75821	4	4	79507
Q9UKK3	2	2	87731
Q9BQI0	2	2	25059
P27169	3	3	57887
Q9Y3C8	1	1	52772
Q92673	1	1	1733
Q3YEC7	2	2	60897
P27695	8	9	427326
P14174	5	6	538288
P29590	6	6	85850
P20591	5	5	59912
P63220	2	2	54773
Q96CW1	3	3	107282
Q96RQ3	12	12	64532
P52272	19	20	464857
Q9NZM1	29	29	281775
Q8N8A6	1	1	261114
Q08J23	2	2	30639
P07919	1	1	5001
Q8NDH3	3	3	44218
P14406	2	2	211430
P10155	3	3	132937
Q9UEE9	1	1	40113
P01611	1	1	1705
Q9BVM4	2	2	21381
Q9H444	5	6	47036
Q8N6T3	1	1	6163
P98082	10	11	218753
P00488	17	17	140103
Q9H8H3	2	3	114429
Q96CM8	13	18	98526
O14639	1	1	7081
P60866	2	2	225300
Q9BPX5	3	3	99403
Q9BUR5	4	4	51039
O14964	1	1	28466
P54868	12	13	124533
P18827	1	1	14223
O15085	1	1	106110
O00159	28	31	339919
O14745	14	17	132820
P04733	2	2	3754
Q15459	4	4	78559
Q99447	7	7	54967
P51608	4	4	68658
P43307	3	3	163957
Q7Z478	1	1	6205
Q709F0	7	7	94400
Q9BWH2	3	3	77271
O00330	6	6	192069
Q9NUI1	2	2	69163
Q92547	1	1	4461
Q15149	170	188	237117
P20073	8	9	134817
Q5JTH9	1	1	10638
Q14011	4	4	76644
Q9Y570	2	2	91524
O00429	11	12	66483
Q9P2D7	1	1	138431
Q05639	3	3	448325
Q6IBS0	4	4	120673
Q9P2R3	2	2	30274
Q9BRT3	1	1	19318
P04350	2	2	9129
Q15067	7	7	126577
Q6ZU35	1	1	97457
Q8NBN7	7	8	195624
Q9Y3D9	4	4	116506
Q93008	2	2	22326
Q13627	1	1	4381
P18583	1	1	114349
Q8ND23	1	1	7853
Q5VYY1	1	1	13364
Q8IV08	4	4	118255
P17050	3	3	82664
O75083	18	24	321043
P01591	2	2	37859
P16083	12	17	95574
Q96AT9	1	1	9941
Q8TEM1	1	1	21543
P00338	17	22	2095690
O60832	1	1	16250
O75340	4	5	106766
Q92882	2	2	93380
Q9H0T7	2	2	108489
P49773	4	6	350800
P13929	1	1	30158
Q16854	1	1	12375
Q92845	1	1	36461
Q2TAA2	4	4	60698
Q9BW91	2	2	24825
Q13098	2	2	28940
P08183	4	4	80293
P06396	22	31	338295
Q6UXV4	2	3	50740
P06702	3	3	107514
Q9NV70	1	1	12913
P54652	6	6	127628
Q9H773	5	5	101028
Q12805	2	2	128262
P07355	6	9	823006
P07602	4	4	101806
Q96EY8	2	2	41156
P43121	6	7	83311
P62829	2	2	160492
Q15063	29	42	1323475
P10586	1	1	32954
O14818	3	3	121875
P38919	6	7	136569
Q8NC51	4	4	49080
Q9UI30	1	1	7302
Q9NX40	6	9	166163
Q5R3I4	7	7	72735
Q16595	1	1	16434
P55058	2	3	28122
P00747	5	7	109151
Q13200	12	13	85501
Q8TAD7	1	1	1490
P26368	4	5	185632
P52209	10	11	147349
P22792	2	2	122358
Q8N465	1	1	16037
Q13464	1	1	38235
Q8IXM3	2	2	22053
Q96A19	1	1	19029
Q96EG3	1	1	37848
P33991	1	1	4436
Q99873	2	2	173608
