prot	pepSeqNum	tgNum	guot_L130410_035_SW			
O15067	6	6	107778			
P62318	2	2	119001			
Q9UMS4	6	6	97885			
P25815	1	1	810			
Q9H8Y8	3	3	49494			
Q5ST30	1	1	11454			
Q14554	5	5	140860			
Q9UHB6	12	12	125668			
Q15019	8	12	125166			
Q63HM1	1	1	7641			
P18428	3	4	43329			
P35270	8	11	226150			
O96008	2	2	32772			
Q9BYD1	2	2	126135			
P07858	7	10	250727			
P80217	1	1	55953			
P52565	7	8	229649			
Q01081	2	2	88144			
P21281	14	17	198903			
P28331	20	25	144769			
Q9BZF1	1	1	23922			
Q9Y696	10	12	242735			
P35998	9	9	141613			
O75970	1	1	74660			
P47897	9	9	99384			
Q96GD0	1	1	7441			
P08519	1	1	10124			
O75165	2	2	20498			
Q99766	2	2	52088			
P11182	9	9	269495			
P52434	1	1	4863			
P07237	33	42	289639			
P62269	6	7	237704			
P61106	13	15	153133			
Q9H6Q4	1	1	25748			
P27708	5	5	67437			
Q9H4B4	1	1	19324			
P37198	2	2	27571			
P50213	7	8	200582			
Q9UBI1	2	2	35451			
Q9Y3Z3	16	16	128473			
Q86Y82	4	4	64010			
Q9UBQ0	4	5	75656			
Q03135	5	5	81138			
P01009	30	48	2378010			
Q9Y3E0	1	1	11099			
Q9BXJ7	3	3	61658			
Q8N655	1	1	18124			
O43169	2	2	28781			
P12830	5	8	55642			
P07195	14	17	2073915			
P12814	19	24	130942			
Q05707	34	35	138837			
O60673	1	1	79798			
P22307	8	8	136960			
Q04637	11	11	132561			
Q9BTV4	3	3	87533			
P09622	14	15	247226			
P48047	13	16	616888			
Q1KMD3	10	10	100757			
Q9H0W9	7	11	190863			
Q14204	74	77	264898			
Q02338	5	5	113817			
Q16134	12	13	100834			
Q16774	2	2	40455			
Q15904	5	5	126606			
Q96IY4	1	1	41418			
Q01415	2	2	77520			
P25774	4	4	63644			
P36957	13	15	649897			
P78357	1	1	145993			
P15924	4	4	182404			
P68366	3	4	138938			
Q5HYA8	1	1	10612			
P51572	4	5	91834			
O00401	1	1	5817			
O60610	1	1	14454			
Q9H9B4	10	10	160553			
Q13356	1	1	21109			
P07814	15	15	139597			
P04114	59	60	197653			
Q16853	7	8	147303			
Q15417	6	6	75734			
P35637	3	3	115850			
Q14195	2	2	31450			
Q9Y3D2	2	2	87720			
Q96EP5	2	2	27342			
Q9UEW8	2	2	6761			
P29728	1	1	5462			
P06576	42	64	1531023			
O75935	2	2	80608			
O00170	2	2	98769			
O43765	2	2	38826			
Q99584	4	5	91491			
P36551	1	1	30056			
Q10471	3	3	42119			
Q9UDR5	7	8	70039			
Q9UNE7	3	3	77882			
P31431	1	1	34263			
Q8N1F7	3	3	43254			
Q96HS1	2	2	49526			
Q14651	8	9	200220			
P12532	6	6	79661			
O75955	5	5	89810			
Q9GZM7	7	9	1441000			
Q9NUQ9	5	5	48791			
Q9HB71	3	3	86966			
P35580	38	45	163964			
Q9GZZ9	2	2	35407			
Q9Y6B6	1	1	31703			
Q9UJW2	8	9	97607			
P24752	23	34	2183540			
Q8WZ42	1	1	110500			
Q9BRA2	3	3	126474			
O96007	1	1	9067			
Q9Y3B3	2	2	34442			
Q9HCJ6	2	3	42388			
Q96HC4	7	8	63747			
P01860	2	2	69225			
Q9ULZ3	7	7	40721			
P54136	9	9	88021			
P06753	4	6	279256			
Q8NF91	2	2	39383			
P54819	15	20	788826			
Q9UNH7	2	2	53434			
Q9BV38	1	1	26122			
Q53SF7	4	4	106348			
P51659	16	17	149112			
P78527	28	28	974961			
Q9HCH5	1	1	9896			
O95336	9	10	214331			
Q5JU85	1	1	11880			
P04264	24	26	235713			
Q9NP97	1	1	24041			
P15153	2	2	53423			
Q00796	9	10	143952			
Q92820	9	13	92752			
Q15274	5	6	167553			
Q8WVY7	1	1	10295			
P08238	11	15	478704			
Q5TDH0	3	3	30135			
Q9UN36	5	5	81938			
P13797	11	12	54357			
O94886	1	1	12535			
Q5TEZ5	1	1	44382			
Q9HBJ8	1	1	5351			
Q9UIQ6	3	3	26798			
Q9BR76	4	4	83266			
Q86W92	1	1	65358			
P31930	16	20	329604			
A0AVI2	1	1	203039			
Q06323	11	12	257983			
Q9BVG4	4	4	177711			
P31939	20	22	193069			
Q969X5	8	8	114829			
P30041	17	23	997251			
P50993	1	1	10027			
P11234	3	3	56684			
O75347	6	6	160847			
P63104	9	14	747593			
Q14247	10	10	181718			
P82979	1	1	27120			
Q96LD4	1	1	1080			
Q99798	40	61	814433			
P19338	22	23	418070			
P20290	1	1	33028			
P20618	7	7	277969			
Q6P179	1	1	17180			
Q92817	3	3	283023			
P57105	3	3	100686			
P48735	19	25	222647			
O76094	4	4	65107			
P23297	1	2	19773			
P02671	30	41	143040			
P61158	7	7	243401			
P60953	4	6	76374			
P80365	5	6	30164			
P62861	2	2	226643			
P56199	3	3	52106			
O75436	5	5	100509			
Q96LB4	2	2	18815			
Q9GZT3	5	6	104194			
Q8NFV4	10	13	199014			
P37837	14	14	445814			
P17987	15	18	154214			
Q96C86	4	5	60727			
P35908	15	16	151685			
Q9Y2R5	1	1	17831			
Q96CG8	2	2	107216			
P62195	9	9	68276			
Q9Y6N5	13	13	177644			
O15372	4	4	66552			
Q9UHD8	13	13	168739			
P05452	1	2	15523			
P51884	13	17	265374			
P13284	1	2	27705			
P42285	2	2	113825			
Q9BVK6	2	2	41853			
Q9H223	11	11	57236			
P51801	3	5	24943			
Q15907	2	3	89800			
Q01449	1	1	4729			
Q6P4A8	6	6	62160			
Q8N370	1	1	4506			
O95154	7	10	213591			
P0DJI8	3	4	136883			
P09234	1	1	17524			
Q00059	3	3	96574			
P62937	10	13	775223			
Q96JB5	1	1	2804			
Q6ZWH5	1	1	17306			
Q9BWS9	1	1	14993			
P15121	16	21	312331			
Q13263	8	8	132411			
P61978	14	19	485195			
Q5VWJ9	1	1	4156			
Q07157	6	6	55278			
P62249	8	8	158212			
Q9H6R7	1	1	51010			
Q10589	1	1	37150			
Q14116	2	2	54573			
Q9H3K6	1	1	51708			
O95394	4	4	47854			
Q86UW7	1	1	344524			
Q9ULD0	22	25	185915			
P62917	2	2	240600			
Q13011	13	14	582335			
Q9NR19	9	10	292630			
P83916	1	1	15286			
Q9UBR2	4	4	71955			
Q8WWM9	1	1	24838			
P17931	8	13	261527			
Q8TBX8	1	1	19314			
O75923	2	2	34950			
P04003	3	3	53171			
P48681	15	16	247086			
P49915	3	3	91518			
O15533	4	4	29558			
P27338	10	13	92737			
P53990	4	4	75155			
P46939	4	4	50156			
Q9UHB9	3	3	70663			
Q9UKL6	1	1	46705			
Q9BQ61	2	2	24723			
P0C0L5	3	3	61079			
Q96S37	1	1	35818			
P21810	13	20	203875			
Q8IXM2	1	1	30880			
O95834	6	6	99741			
P61019	5	6	56367			
Q8N8R3	1	1	21888			
Q9P0V9	2	2	23177			
Q8TB96	1	1	7977			
Q92572	1	1	31902			
Q8TCS8	6	6	92434			
Q8NI60	2	2	34810			
Q8TDX5	1	1	15256			
O75663	1	1	20301			
Q08170	4	4	89965			
Q9Y263	1	1	2992			
P42766	1	1	95158			
Q969T9	1	1	26410			
Q13057	9	10	170086			
P02652	7	8	231026			
Q12802	2	2	76752			
O95168	3	4	89609			
P62888	2	2	168461			
P40616	2	2	36926			
P78324	1	1	3462			
P36969	5	5	122858			
Q8N766	3	3	61027			
O43684	2	2	35625			
P20042	3	3	61410			
Q9NXE8	1	1	67869			
Q9Y5L4	2	2	91465			
P54727	6	7	163033			
Q15120	2	2	34526			
A6NDB9	2	2	31189			
P17568	1	1	16550			
Q9NZN4	18	20	195617			
Q96M32	1	1	142941			
O60343	4	4	39372			
P19320	2	2	21326			
Q9H9J2	1	1	5178			
P37231	1	1	295273			
Q8NHP8	1	1	33392			
Q9NQ48	1	1	22954			
Q99623	18	22	599256			
Q9Y490	60	77	253703			
Q8WWV3	1	1	2182			
P00491	14	16	285910			
O95757	6	6	88470			
Q03426	1	1	36487			
P35680	2	2	15350			
P21399	26	31	185946			
Q96CX2	14	17	327180			
P13591	1	1	14051			
Q92905	5	5	50217			
Q9Y617	9	9	85222			
P31689	5	5	65461			
Q99543	1	1	5036			
P15586	4	4	84367			
Q96G03	11	13	133761			
P62314	2	3	119067			
O75348	2	2	26981			
P29034	1	1	25621			
P01903	3	4	88448			
Q53FT3	1	1	8508			
Q9P273	1	1	31350			
Q9NZT2	1	1	10524			
Q6IQ23	1	1	40507			
Q9UM54	9	9	84232			
Q8TC12	3	3	182123			
P09871	4	4	77267			
P53396	28	32	182582			
P05154	6	6	52416			
Q6UB35	1	1	23665			
P34897	17	20	319343			
P39019	8	9	152825			
O75781	3	3	237766			
P61313	4	4	212000			
Q9H4L7	1	1	13009			
O43396	6	6	140759			
P16671	6	8	64938			
Q96GA7	3	3	50503			
P09210	2	2	98378			
Q9UEU0	3	3	39002			
O94973	9	11	53956			
P81605	1	1	21109			
P63244	10	11	264817			
P08493	1	1	14232			
P14324	5	5	68535			
Q9Y678	13	15	73529			
P52789	3	3	43764			
Q9NRX3	3	3	46430			
P12694	11	13	81078			
Q96CN7	3	3	92330			
Q9Y2Q9	2	2	91998			
O95747	5	5	65885			
Q8NFF5	2	2	22302			
P07148	6	7	33449			
P08729	25	30	593820			
P68871	12	23	8679550			
P58546	3	4	184090			
O14907	1	1	32106			
P55083	2	2	22409			
P05067	3	3	150435			
O95219	1	1	10271			
P33176	9	9	153959			
P02790	12	14	577751			
P17900	4	5	69718			
P05386	2	3	225855			
P49006	1	1	13687			
P02545	45	53	476035			
Q658Y4	1	1	2656			
Q9UHY7	3	3	59161			
Q9NSK0	1	1	11560			
Q6E0U4	1	1	11526			
Q96HY7	7	7	98849			
P09936	5	6	135136			
Q16650	1	1	37098			
P04062	1	1	11153			
Q13509	2	3	100457			
Q9NX58	1	1	8305			
P25391	53	58	748396			
P24844	3	4	119474			
P18621	3	4	126119			
O15347	2	2	158018			
Q9NVA2	7	9	95957			
Q96PD5	1	1	1959			
O00567	4	4	72402			
Q5T6J7	1	1	8532			
Q9NRN7	1	1	21763			
Q13642	2	2	498945			
Q9Y2Q5	3	3	55467			
O94819	1	1	12910			
O76021	1	1	10847			
P01891	1	1	18864			
P62273	2	2	48225			
Q13576	32	33	47519			
P10412	1	1	9395			
Q5T2T1	3	3	29005			
Q05682	21	22	127335			
P24298	1	1	47047			
Q9HBH5	3	3	56748			
P33121	20	23	332964			
Q9Y5S9	2	2	41322			
P21333	84	115	162480			
P62805	10	13	3558892			
Q8WUK0	1	1	3503			
O00115	2	2	58622			
P04080	3	5	250398			
O15027	2	2	15425			
P08697	5	5	54381			
O00515	5	5	44645			
Q15526	2	2	40344			
P30086	11	20	1310801			
Q9BZE1	1	1	7282			
O15195	1	1	99831			
P50336	5	6	51315			
Q9BYD6	3	3	36286			
P17813	1	1	2989			
P48643	12	14	253593			
Q92930	1	1	13838			
Q9Y3D6	3	3	49415			
Q9UMX5	1	1	104089			
Q8WUI4	1	1	241538			
P49755	4	5	45399			
P52943	4	5	96619			
P35579	92	125	242106			
Q9NTJ5	4	4	31587			
Q9P032	1	1	8878			
P07951	3	5	61105			
Q96DH6	2	2	45298			
P36405	5	5	91938			
Q9BPW8	10	14	145447			
Q8NEZ3	1	2	168494			
P28330	3	3	58343			
P24666	3	3	263251			
Q9H4A4	9	10	117811			
Q04760	8	9	228169			
P29972	1	2	76993			
Q13247	1	1	59876			
P21695	20	25	189858			
Q15418	1	1	30088			
Q9C005	1	1	15241			
Q9BT09	2	2	42898			
P02788	11	11	98495			
O14828	2	2	24884			
Q8TBA6	1	1	400530			
O75431	3	4	112118			
P30419	3	3	40396			
Q9NYL9	7	9	69932			
O00571	5	5	42670			
P41091	1	1	23479			
Q9NZD2	4	4	162839			
P09382	5	5	259874			
P55786	12	14	238307			
Q01085	1	1	39739			
Q9BUP0	3	4	34077			
P00390	15	21	268377			
P49189	11	13	308968			
P62714	1	1	15253			
A1L0T0	2	2	19511			
P42224	16	17	529708			
O60488	1	1	8771			
Q7LG56	3	3	28257			
Q9H3G5	5	5	206959			
P57737	3	3	21882			
P27797	19	23	153310			
Q9Y478	2	2	13846			
P35542	2	2	45879			
O43181	4	4	84178			
Q02543	3	3	69255			
O95782	3	3	29848			
P07738	4	4	71334			
Q9H173	2	2	18061			
Q02218	21	25	172975			
Q6P4F2	1	1	16695			
Q96P70	2	2	27001			
Q16881	7	7	136111			
P38571	1	1	37097			
Q15084	14	19	208466			
P62906	3	3	90925			
P09493	9	10	225704			
Q15942	6	6	81407			
Q9UHL4	9	11	90037			
Q9Y3B7	3	3	47425			
P01764	1	1	28926			
P01040	1	1	17092			
O95347	1	1	340			
P36269	5	5	46967			
Q7Z2W4	2	2	21382			
P19652	5	7	59671			
Q6PEY1	1	1	25410			
Q9Y512	4	4	686856			
Q9UHV9	3	3	91625			
Q13451	8	8	75782			
P62495	6	6	167007			
P14543	28	32	392279			
Q14789	1	1	5941			
Q92621	1	1	2078			
Q08211	21	23	115879			
Q86TU7	2	2	9121			
P69905	17	38	5417879			
Q9H2H8	1	1	26472			
P31513	1	1	9941			
P07900	15	19	475537			
P62244	4	4	136026			
Q9UBU9	1	1	48183			
Q96M96	1	1	14100			
Q92747	1	1	63010			
Q709C8	5	5	33959			
P04275	16	17	78627			
O60664	15	19	97118			
Q9Y6C2	11	11	373563			
P40261	7	10	97943			
Q6IB77	14	16	150647			
O00186	1	1	31907			
Q16186	1	1	5724			
Q53H82	5	5	84289			
Q9P253	1	1	3590			
Q8IX12	2	2	332599			
Q16773	1	1	14405			
Q16666	5	5	45014			
P30101	29	42	366907			
A6NDG6	1	1	49743			
Q15165	5	7	35316			
P00736	1	1	10773			
O15244	1	1	8611			
P06865	9	10	79243			
Q9NQP4	1	1	36686			
P28072	3	3	129001			
P05155	10	11	123129			
Q8IYQ7	1	1	11961			
Q9UQB8	1	1	16971			
Q8NF37	2	2	10975			
P13639	22	28	717587			
O75146	3	3	56198			
Q6P587	7	10	197101			
Q9BTE6	2	2	28693			
Q86U42	1	1	88306			
Q99816	2	2	36442			
Q8WVM8	3	3	28181			
O60218	5	5	90960			
Q6NVY1	16	20	142482			
Q14108	6	7	105600			
Q6P996	3	3	31916			
Q9C0B1	2	2	74260			
Q07954	7	7	29616			
P45973	1	1	26960			
Q9H3N1	1	1	19186			
Q9Y6G9	1	1	7997			
P46087	1	1	119431			
P00748	2	2	62422			
Q9BYF1	2	2	29761			
Q15847	3	4	222987			
Q01082	94	117	272779			
P61457	2	2	156393			
Q96JY6	7	8	52853			
O43491	7	7	70591			
O15399	1	1	41822			
Q96QR8	2	2	40517			
P05162	2	3	45910			
O94874	9	9	66628			
Q15382	1	1	30852			
Q9UBS4	2	3	38277			
Q8IUX7	2	2	32778			
P16112	1	1	9367			
P01008	18	23	274591			
P28332	6	6	110848			
Q9NWS8	1	1	11612			
P02751	54	67	192960			
Q13765	3	4	102206			
P12821	8	9	57163			
Q9P260	1	1	9101			
O75746	8	9	207107			
Q13045	8	8	107726			
Q8WW12	2	2	37938			
O14974	3	3	79084			
Q13813	124	144	262091			
Q8IUD2	1	1	9690			
O95721	2	2	40616			
P22626	17	23	803899			
P78371	22	24	210571			
P50402	1	1	5633			
P16157	16	16	93798			
Q15365	5	6	482281			
Q8IXI2	1	1	142169			
P40926	18	23	1020295			
O60716	14	14	131791			
P02792	11	17	186487			
Q9HC35	6	6	123989			
O14949	3	4	51145			
P01023	49	62	215231			
Q14203	11	11	198039			
Q9HB20	1	1	8413			
P30084	14	20	265788			
Q14160	3	3	111159			
P09104	8	13	176316			
O43617	2	2	84145			
P51580	3	3	71657			
P60033	1	1	32002			
Q13492	9	10	64276			
P30273	3	3	24738			
O60494	21	26	80452			
Q0VF96	1	1	14557			
Q16543	5	6	99907			
O00148	1	1	5682			
P62258	16	23	698864			
Q6YN16	11	13	181017			
O00422	1	1	29869			
P43080	1	1	18405			
P51798	1	1	21360			
Q5VZ46	1	1	6027			
Q15424	1	1	41912			
P78330	2	2	71098			
Q9BXP5	4	4	61985			
Q495M3	2	2	10978			
Q9Y2Z4	3	3	25226			
P16930	13	15	102411			
O94788	8	8	88057			
P28070	4	4	180467			
Q8N163	6	6	140074			
Q9Y5X1	4	4	68649			
Q9H2U2	11	16	226124			
P06280	2	2	39315			
O15014	1	1	21960			
P51888	12	16	115149			
P14780	1	1	2005			
P11279	6	8	120563			
Q5VIR6	2	2	18222			
Q9NT62	2	2	34040			
Q9BTW9	2	2	34222			
Q02809	7	7	64178			
P61201	3	3	29600			
O15020	18	19	160689			
P22676	2	2	56100			
P22234	10	13	127124			
Q9P0J0	3	3	51511			
P21397	17	19	120235			
P16615	4	4	39665			
Q01518	16	21	311555			
Q9HAB8	2	2	44905			
Q5JPH6	2	2	50600			
P09497	3	3	50996			
P55084	25	30	706713			
Q92973	3	3	53394			
Q9NQX3	3	3	43870			
P50479	2	2	53739			
P14920	3	3	75217			
Q9UKG1	3	3	16382			
Q32P28	4	4	43763			
P48147	1	2	39194			
P32754	11	13	78050			
Q06830	12	15	1012627			
Q7L5N1	2	2	59954			
O75891	26	30	146459			
Q9BT78	5	5	109700			
Q13126	3	4	57672			
O60749	11	12	198028			
Q14764	37	47	260583			
P02042	9	14	565500			
Q9HCB6	8	9	286275			
P42574	1	1	18808			
Q7L576	6	6	106760			
Q6IAA8	5	5	90005			
Q92575	1	1	14131			
P29401	22	31	658924			
P11215	1	1	18439			
P63098	1	1	27175			
Q8IVM0	1	1	9513			
P17540	8	8	171731			
Q15018	1	1	222709			
O15540	5	5	76440			
P84103	6	6	239121			
P06133	1	1	12000			
Q5T2W1	9	11	117539			
Q99757	1	1	54478			
Q93088	19	27	103331			
Q9Y6D6	1	1	8529			
P61626	5	5	94060			
O95967	2	2	36345			
O60220	2	2	67185			
Q9Y606	2	2	209248			
Q8IXB1	1	1	9249			
O00151	10	10	267272			
Q9NZ45	3	4	130675			
P30040	8	9	144249			
Q9UHA4	2	2	99994			
Q8NBJ5	8	9	131711			
Q16658	11	11	79047			
P49407	2	2	16009			
Q8WW59	8	8	135250			
O94875	2	2	36313			
Q6NV75	1	1	292156			
Q15126	3	3	49117			
Q9NYQ3	4	4	122848			
Q9Y259	1	1	11831			
P14854	3	3	199119			
P07954	18	23	162933			
P27482	3	3	101187			
O15511	3	3	189153			
Q02750	1	1	5541			
P49753	1	1	2773			
Q9UNS2	1	1	21130			
Q9HCF6	1	1	34445			
P27816	20	20	151884			
Q15746	7	7	69942			
Q8N6H7	1	1	9137			
Q6UW63	1	1	21916			
Q9NX46	2	2	77494			
P10515	14	15	264591			
P23142	5	5	64932			
P15428	1	1	22058			
Q96I99	21	23	460929			
Q9Y697	2	2	44083			
O43324	2	2	60365			
Q9H9F9	1	1	26875			
Q12904	7	7	102915			
Q86VN1	2	2	275033			
P51553	1	1	20301			
Q8IVS2	1	1	13814			
Q86UY8	1	1	19277			
P39023	3	3	285394			
Q8WTX9	1	1	74683			
P18859	9	11	266625			
A4D1P6	1	1	46373			
Q9BQE5	8	9	69038			
Q9UBG0	1	1	2897			
P14866	10	11	137359			
P00797	1	1	6368			
P01717	1	2	32968			
Q9H1E5	1	1	9155			
Q8WWI1	8	8	46943			
O95563	1	1	22558			
O43294	2	2	59248			
P63151	2	2	62822			
P46108	3	3	57173			
P55008	3	3	43472			
Q14683	2	2	79374			
P05937	15	21	131611			
Q16719	1	1	8020			
Q86UP2	29	29	137258			
Q7KZF4	25	29	291104			
Q9H845	10	11	79122			
Q9BS26	4	4	101772			
A6NNA5	1	1	61443			
P04211	1	1	25862			
Q9HBL0	19	20	96613			
Q9H7C9	3	3	90716			
Q9H269	1	1	8856			
P43034	5	6	64246			
Q13505	4	4	42454			
P08263	1	1	63365			
Q9H6S3	9	10	239341			
P80404	15	20	145815			
P50897	4	4	83971			
Q9NY33	8	8	138360			
P39059	9	10	69188			
Q9NQT8	10	10	72612			
P42677	1	1	16749			
P25705	36	52	2911890			
Q9UL25	4	4	115902			
Q9NWU1	2	2	21871			
Q5T440	3	4	34740			
Q9Y262	4	4	50229			
P55265	4	4	39915			
Q96C00	1	1	50041			
Q02978	17	18	349455			
Q9NV96	1	1	16654			
P32456	1	1	79755			
Q99598	1	1	3487			
Q9P2K5	2	2	56138			
O95299	10	11	104148			
Q9H4G4	1	1	5933			
Q15181	10	15	210826			
P46821	8	9	53325			
Q9Y3F4	5	5	93302			
Q5VXI9	1	1	60608			
P05186	2	2	16188			
P31943	3	3	76679			
O95167	2	2	16335			
P35611	9	10	124720			
O75323	7	8	152657			
Q14165	4	4	70854			
Q9UGB7	3	3	92327			
P23083	1	1	10455			
Q8TD19	1	1	34027			
P62310	1	1	95703			
Q9UKU7	5	5	67895			
P13693	3	3	51424			
Q8N4Q0	1	1	5588			
Q9Y3A6	1	1	23411			
P13667	31	36	229122			
P35080	4	5	96308			
Q9P2F5	1	1	23983			
Q9UH62	1	1	25083			
Q8WXI4	1	1	38958			
Q12797	11	13	64660			
Q15121	2	3	34311			
Q15843	3	4	142096			
Q71UM5	1	2	73129			
Q9H307	1	1	21820			
Q00056	1	1	1477790			
Q6UXS9	1	1	292340			
P27144	15	22	294421			
O43815	1	1	21632			
Q92890	1	1	35122			
P17980	7	9	103237			
Q96CM4	1	1	32546			
Q05397	1	1	67212			
P61221	4	4	55690			
O75884	3	3	82024			
Q6PIU2	7	9	96154			
Q86YB7	5	6	49575			
Q7Z6Z7	5	5	30636			
O00154	4	4	73727			
Q7L266	2	2	97738			
P11498	41	49	172203			
Q9GZT8	2	2	41289			
P12931	1	1	35140			
P21912	11	13	140038			
O14618	2	2	88221			
P49959	1	1	9401			
Q5T447	1	1	56014			
Q9P035	2	2	25847			
P82650	3	3	40135			
P50747	1	1	29232			
P02746	2	2	36365			
P13473	3	3	79491			
O75531	1	1	79248			
P29218	4	4	107897			
Q9BQ52	1	1	7999			
Q16630	2	2	59694			
Q16740	2	2	24056			
P42330	4	4	50203			
P30042	7	10	268045			
O43809	4	4	61455			
Q13435	3	3	72002			
Q5JTJ3	1	1	84095			
P09132	1	1	1233			
Q13526	1	1	88389			
Q99497	10	11	328406			
Q9BTT0	1	1	67428			
Q8NHG7	1	1	26025			
O00757	2	2	42684			
P16152	13	15	344219			
P23193	4	4	278364			
P51690	1	1	28121			
Q13404	1	1	4233			
P62942	3	4	553971			
Q7L0Y3	3	3	78265			
O60784	4	4	39063			
Q01433	1	1	17358			
O94986	1	1	488405			
Q7Z4W1	6	6	429778			
P83111	3	3	81366			
P29350	3	3	41828			
Q92520	1	1	5091			
P56192	2	2	54603			
P08571	3	5	38629			
P02749	3	3	65154			
Q8WXX5	1	1	23815			
Q6DD88	1	1	10741			
P55060	7	7	127596			
P34931	1	1	42031			
P42785	4	4	208424			
P60903	3	4	853213			
Q9UIA9	1	1	22773			
P09661	3	3	86701			
Q12792	6	7	44142			
P14923	7	7	41961			
Q9P2R7	10	11	256501			
P31153	6	7	176240			
P18124	8	10	237483			
O96000	3	3	69318			
P60510	1	1	22005			
Q8IYU8	2	2	32189			
P08107	13	19	449595			
P15531	4	5	232748			
Q9NSD9	7	7	91993			
Q9Y2X3	7	7	114662			
Q93083	1	1	701			
Q03518	5	5	27333			
O60826	3	3	61603			
P56134	3	3	116870			
P53007	4	4	91878			
P35527	14	14	185932			
Q9H6V9	1	1	17249			
Q15008	1	1	19001			
P00739	2	2	18328			
P36543	8	9	105283			
Q9NRZ7	2	2	35618			
Q9ULC6	2	2	18958			
P55789	1	1	5992			
P12644	1	1	114585			
P49914	1	1	13555			
Q06278	8	8	187685			
Q9UKY7	2	2	25018			
P61586	1	1	2261			
P61289	4	4	61341			
Q8NBS9	12	12	93347			
Q9Y2V2	3	4	115974			
P25325	9	9	228480			
Q06033	5	6	87620			
Q9Y376	5	5	39794			
P49789	3	4	73205			
Q9Y4K1	5	5	36267			
Q9HBG4	22	23	79373			
Q9Y3I0	8	8	167407			
Q8IZP0	1	1	9962			
P42126	6	6	286364			
Q8NI22	1	1	11993			
O15371	1	1	5972			
Q16790	5	6	59499			
O94832	1	1	16554			
P59103	1	1	280			
P26599	10	14	178459			
Q6GMR7	1	1	49624			
P52758	7	10	144545			
P24534	4	4	203762			
P01859	4	5	944203			
Q13155	2	2	34346			
O75352	1	1	7320			
O43768	1	1	4706			
P12109	19	24	281581			
Q969L2	1	1	75575			
Q9P219	1	1	17466			
Q9H4A3	1	1	78761			
Q86UX2	5	5	108558			
Q53T59	1	1	59956			
P07996	15	16	876028			
P48163	6	6	89509			
Q9UBQ5	3	3	82856			
Q14103	4	4	201500			
P62841	1	1	4155			
P12004	3	3	87923			
Q8TAE8	1	1	51830			
P30613	17	21	114465			
Q562E7	1	1	8527			
Q8NCW5	3	4	89267			
P50991	11	11	167655			
Q96CT7	2	2	39508			
Q96HY6	3	4	10623			
P62081	7	8	203571			
P23396	15	16	340203			
Q9NYL4	1	1	12957			
Q96BY6	1	1	17792			
P0CG38	1	1	42351			
O95487	1	1	931			
P15313	14	18	400116			
Q86V81	2	3	96016			
Q6NUK1	10	10	140157			
P0DJI9	1	2	60076			
Q96KP4	27	44	1973447			
O43451	10	12	46121			
P11586	26	27	314388			
P14209	1	1	11477			
P28288	2	2	15692			
P46379	1	1	15132			
Q8TEX9	2	2	13428			
P62070	1	1	6257			
Q9Y5J7	2	2	150184			
Q13885	1	1	13412			
Q3L8U1	1	1	32747			
Q9H7Z7	13	14	96056			
P45880	9	10	259412			
Q96AP7	2	2	32305			
Q9C0D6	1	1	11369			
Q96TC7	1	1	34302			
Q9Y3E7	1	1	157437			
Q08722	1	1	16740			
Q96HD9	4	4	55442			
P01034	1	1	40756			
Q9P0M6	2	2	115286			
A6NJG2	1	1	99477			
O75915	3	3	76105			
P60468	1	1	9843			
P04040	26	34	222536			
Q15020	2	2	43199			
A0PJK1	1	1	37958			
P13804	15	21	294059			
Q9NP81	5	5	49606			
Q14677	7	7	117106			
P61020	3	3	73379			
Q8NBU5	1	1	44796			
P01871	4	4	182035			
O75153	1	1	37297			
O60271	11	11	511174			
Q86UX7	3	3	39629			
P43652	4	5	80982			
P08621	5	5	107381			
P09417	8	10	199749			
Q9Y333	3	4	107281			
P01780	1	1	38974			
Q9NZJ5	1	1	24800			
Q9Y2T2	2	2	30733			
Q9Y394	3	4	52766			
Q9UI17	28	32	91449			
Q13405	3	3	29038			
P62995	3	4	92584			
Q9NUL5	1	1	10501			
O00534	2	2	74748			
P00966	23	26	252981			
P00558	24	34	1128584			
Q13347	3	3	77996			
Q99963	1	1	10079			
P34896	14	18	516707			
P12235	3	3	150913			
Q9Y2Y0	1	1	14418			
O60762	4	4	29752			
P13798	13	13	263210			
Q9HD45	1	1	20131			
P62910	1	1	3036			
O00391	1	1	23090			
P36776	21	23	163877			
Q07837	2	2	36181			
Q8WV74	1	1	10229			
Q12874	2	2	22438			
O60502	2	2	61183			
Q96IJ6	2	2	57483			
Q9Y6I3	2	2	32046			
P46736	1	1	178816			
P11171	2	2	25868			
O95881	2	2	95208			
O75309	16	18	87275			
P52566	7	7	78558			
P07737	11	14	1443299			
P40855	1	1	6911			
Q4G176	7	9	120963			
Q96S52	1	1	1090			
O43676	2	2	93146			
Q969H0	1	1	83715			
O95571	2	2	81621			
P36959	1	1	1750			
O60506	7	8	142417			
Q14126	1	1	30828			
O75223	5	5	88710			
Q16891	24	31	174098			
Q9UJ70	7	8	86493			
O14791	2	2	8108			
Q4U2R8	2	2	38287			
O60256	4	4	52387			
Q15369	1	1	7433			
Q6ZVF9	1	1	45778			
P61006	1	2	23368			
P17858	14	21	128806			
P68036	6	6	74572			
Q9Y277	6	8	128583			
O75351	1	1	10206			
P53597	8	11	502687			
P05114	3	4	37928			
Q01740	7	7	1194821			
Q15370	4	5	129161			
