prot	pepSeqNum	tgNum	guot_L130410_025c_SW		
P62318	2	2	46435		
Q9UMS4	6	6	44613		
P25815	1	1	620		
Q9H8Y8	3	3	13637		
Q5ST30	1	1	2342		
Q14554	5	5	25099		
Q9UHB6	12	12	149761		
Q15019	8	12	65168		
Q63HM1	1	1	1082		
P18428	3	4	44205		
P35270	8	11	61085		
O96008	2	2	48338		
Q9BYD1	2	2	92206		
P07858	7	10	37443		
P80217	1	1	18535		
P52565	7	8	93363		
Q01081	2	2	15283		
P21281	14	17	61244		
P28331	20	25	75495		
Q9BZF1	1	1	13193		
Q9Y696	10	12	61106		
P35998	9	9	52496		
O75970	1	1	354649		
P47897	9	9	107818		
Q96GD0	1	1	2112		
P08519	1	1	8812		
O75165	2	2	9347		
Q99766	2	2	25954		
P11182	9	9	46423		
P52434	1	1	871		
P07237	33	42	152503		
P62269	6	7	63752		
P61106	13	15	91807		
Q9H6Q4	1	1	8143		
P27708	5	5	136384		
Q9H4B4	1	1	5796		
P37198	2	2	11227		
P50213	7	8	46056		
Q9UBI1	2	2	13159		
Q9Y3Z3	16	16	70252		
Q86Y82	4	4	19960		
Q9UBQ0	4	5	102718		
Q03135	5	5	305965		
P01009	30	48	1986488		
Q9Y3E0	1	1	3804		
Q9BXJ7	3	3	26790		
Q8N655	1	1	20812		
O43169	2	2	17261		
P12830	5	8	27326		
P07195	14	17	1251818		
P12814	19	24	188538		
Q05707	34	35	564519		
O60673	1	1	10310		
P22307	8	8	39216		
Q04637	11	11	44766		
Q9BTV4	3	3	34510		
P09622	14	15	122240		
P48047	13	16	237473		
Q1KMD3	10	10	45709		
Q9H0W9	7	11	53209		
Q14204	74	77	86222		
Q02338	5	5	55051		
Q16134	12	13	64700		
Q16774	2	2	29944		
Q15904	5	5	52594		
Q96IY4	1	1	15760		
Q01415	2	2	15064		
P25774	4	4	22417		
P36957	13	15	245358		
P78357	1	1	21642		
P15924	4	4	285942		
P68366	3	4	61676		
Q5HYA8	1	1	2891		
P51572	4	5	342896		
O00401	1	1	2491		
O60610	1	1	5672		
Q9H9B4	10	10	32085		
Q13356	1	1	4743		
P07814	15	15	78865		
P04114	59	60	114561		
Q16853	7	8	595607		
Q15417	6	6	104338		
P35637	3	3	36002		
Q14195	2	2	31219		
Q9Y3D2	2	2	27750		
Q96EP5	2	2	5941		
Q9UEW8	2	2	2610		
P29728	1	1	3647		
P06576	42	64	713882		
O75935	2	2	40214		
O00170	2	2	16428		
O43765	2	2	6133		
Q99584	4	5	98626		
P36551	1	1	5080		
Q10471	3	3	22362		
Q9UDR5	7	8	22772		
Q9UNE7	3	3	32865		
P31431	1	1	4230		
Q8N1F7	3	3	25711		
Q96HS1	2	2	12216		
Q14651	8	9	23082		
P12532	6	6	26241		
O75955	5	5	30670		
Q9GZM7	7	9	78261		
Q9NUQ9	5	5	21088		
Q9HB71	3	3	22527		
P35580	38	45	85502		
Q9GZZ9	2	2	15391		
Q9Y6B6	1	1	52982		
Q9UJW2	8	9	69718		
P24752	23	34	267546		
Q8WZ42	1	1	35163		
Q9BRA2	3	3	33650		
O96007	1	1	6552		
Q9Y3B3	2	2	19193		
Q9HCJ6	2	3	8706		
Q96HC4	7	8	32268		
P01860	2	2	68482		
Q9ULZ3	7	7	21671		
P54136	9	9	12807		
P06753	4	6	50432		
Q8NF91	2	2	7057		
P54819	15	20	420909		
Q9UNH7	2	2	109505		
Q9BV38	1	1	116984		
Q53SF7	4	4	26123		
P51659	16	17	82054		
P78527	28	28	144900		
Q9HCH5	1	1	3855		
O95336	9	10	90925		
Q5JU85	1	1	430		
P04264	24	26	269201		
Q9NP97	1	1	4955		
P15153	2	2	25565		
Q00796	9	10	372184		
Q92820	9	13	24235		
Q15274	5	6	49020		
Q8WVY7	1	1	4508		
P08238	11	15	85413		
Q5TDH0	3	3	27719		
Q9UN36	5	5	33414		
P13797	11	12	45488		
O94886	1	1	3450		
Q5TEZ5	1	1	32358		
Q9HBJ8	1	1	5069		
Q9UIQ6	3	3	12078		
Q9BR76	4	4	124589		
Q86W92	1	1	45855		
P31930	16	20	132067		
A0AVI2	1	1	28786		
Q06323	11	12	76304		
Q9BVG4	4	4	33539		
P31939	20	22	40041		
Q969X5	8	8	59835		
P30041	17	23	902988		
P50993	1	1	2043		
P11234	3	3	22136		
O75347	6	6	64177		
P63104	9	14	445936		
Q14247	10	10	57129		
P82979	1	1	26824		
Q96LD4	1	1	1354		
Q99798	40	61	201479		
P19338	22	23	118123		
P20290	1	1	12337		
P20618	7	7	138912		
Q6P179	1	1	11291		
Q92817	3	3	35690		
P57105	3	3	37111		
P48735	19	25	87064		
O76094	4	4	30090		
P23297	1	2	73301		
P02671	30	41	876333		
P61158	7	7	310662		
P60953	4	6	59432		
P80365	5	6	18058		
P62861	2	2	34647		
P56199	3	3	31516		
O75436	5	5	59355		
Q96LB4	2	2	17672		
Q9GZT3	5	6	54762		
Q8NFV4	10	13	57190		
P37837	14	14	239448		
P17987	15	18	227764		
Q96C86	4	5	61059		
P35908	15	16	65804		
Q9Y2R5	1	1	7466		
Q96CG8	2	2	40791		
P62195	9	9	20033		
Q9Y6N5	13	13	22679		
O15372	4	4	27525		
Q9UHD8	13	13	34445		
P05452	1	2	17454		
P51884	13	17	550737		
P13284	1	2	10491		
P42285	2	2	110171		
Q9BVK6	2	2	32690		
Q9H223	11	11	59528		
P51801	3	5	8208		
Q15907	2	3	41724		
Q01449	1	1	1152		
Q6P4A8	6	6	44428		
Q8N370	1	1	1794		
O95154	7	10	80657		
P0DJI8	3	4	61984		
P09234	1	1	4721		
Q00059	3	3	26747		
P62937	10	13	1699539		
Q96JB5	1	1	980		
Q6ZWH5	1	1	930		
Q9BWS9	1	1	4222		
P15121	16	21	52137		
Q13263	8	8	8278		
P61978	14	19	96978		
Q5VWJ9	1	1	2390		
Q07157	6	6	23777		
P62249	8	8	64187		
Q9H6R7	1	1	36943		
Q10589	1	1	140611		
Q14116	2	2	116224		
Q9H3K6	1	1	8924		
O95394	4	4	58802		
Q86UW7	1	1	14616		
Q9ULD0	22	25	67874		
P62917	2	2	68034		
Q13011	13	14	226878		
Q9NR19	9	10	70781		
P83916	1	1	2779		
Q9UBR2	4	4	40515		
Q8WWM9	1	1	13076		
P17931	8	13	159348		
Q8TBX8	1	1	9450		
O75923	2	2	16644		
P04003	3	3	66973		
P48681	15	16	31345		
P49915	3	3	37031		
O15533	4	4	20905		
P27338	10	13	117069		
P53990	4	4	62458		
P46939	4	4	23344		
Q9UHB9	3	3	160227		
Q9UKL6	1	1	26209		
Q9BQ61	2	2	3356		
P0C0L5	3	3	77289		
Q96S37	1	1	36677		
P21810	13	20	116122		
Q8IXM2	1	1	4577		
O95834	6	6	47729		
P61019	5	6	37949		
Q8N8R3	1	1	30714		
Q9P0V9	2	2	25539		
Q8TB96	1	1	3680		
Q92572	1	1	8566		
Q8TCS8	6	6	47970		
Q8NI60	2	2	54345		
Q8TDX5	1	1	8019		
O75663	1	1	5147		
Q08170	4	4	12981		
Q9Y263	1	1	1033		
P42766	1	1	44492		
Q969T9	1	1	25082		
Q13057	9	10	96367		
P02652	7	8	734058		
Q12802	2	2	64602		
O95168	3	4	66044		
P62888	2	2	40370		
P40616	2	2	16272		
P78324	1	1	1308		
P36969	5	5	64180		
Q8N766	3	3	21218		
O43684	2	2	14597		
P20042	3	3	8467		
Q9NXE8	1	1	19519		
Q9Y5L4	2	2	45957		
P54727	6	7	71765		
Q15120	2	2	9256		
A6NDB9	2	2	18946		
P17568	1	1	9725		
Q9NZN4	18	20	429198		
Q96M32	1	1	67286		
O60343	4	4	25484		
P19320	2	2	7936		
Q9H9J2	1	1	751		
P37231	1	1	14517		
Q8NHP8	1	1	12995		
Q9NQ48	1	1	6896		
Q99623	18	22	187804		
Q9Y490	60	77	126025		
Q8WWV3	1	1	350		
P00491	14	16	72533		
O95757	6	6	79210		
Q03426	1	1	10879		
P35680	2	2	2421		
P21399	26	31	414106		
Q96CX2	14	17	67691		
P13591	1	1	290131		
Q92905	5	5	25057		
Q9Y617	9	9	43577		
P31689	5	5	18446		
Q99543	1	1	160		
P15586	4	4	13586		
Q96G03	11	13	38121		
P62314	2	3	42352		
O75348	2	2	15957		
P29034	1	1	13067		
P01903	3	4	38896		
Q53FT3	1	1	4865		
Q9P273	1	1	43196		
Q9NZT2	1	1	4407		
Q6IQ23	1	1	23776		
Q9UM54	9	9	51557		
Q8TC12	3	3	54379		
P09871	4	4	67994		
P53396	28	32	107898		
P05154	6	6	39139		
Q6UB35	1	1	46020		
P34897	17	20	77096		
P39019	8	9	58684		
O75781	3	3	31252		
P61313	4	4	44691		
Q9H4L7	1	1	16032		
O43396	6	6	42088		
P16671	6	8	783296		
Q96GA7	3	3	17638		
P09210	2	2	17261		
Q9UEU0	3	3	18602		
O94973	9	11	59698		
P81605	1	1	34888		
P63244	10	11	56822		
P08493	1	1	8382		
P14324	5	5	56127		
Q9Y678	13	15	62229		
P52789	3	3	28498		
Q9NRX3	3	3	21917		
P12694	11	13	53556		
Q96CN7	3	3	53448		
Q9Y2Q9	2	2	45609		
O95747	5	5	15147		
Q8NFF5	2	2	14565		
P07148	6	7	20414		
P08729	25	30	27061		
P68871	12	23	29578500		
P58546	3	4	46776		
O14907	1	1	5936		
P55083	2	2	39075		
P05067	3	3	20991		
O95219	1	1	5278		
P33176	9	9	66948		
P02790	12	14	800311		
P17900	4	5	46854		
P05386	2	3	55010		
P49006	1	1	2713		
P02545	45	53	462216		
Q658Y4	1	1	260		
Q9UHY7	3	3	41944		
Q9NSK0	1	1	31102		
Q6E0U4	1	1	4534		
Q96HY7	7	7	100574		
P09936	5	6	55759		
Q16650	1	1	17792		
P04062	1	1	2434		
Q13509	2	3	79742		
Q9NX58	1	1	8295		
P25391	53	58	33351		
P24844	3	4	209016		
P18621	3	4	34015		
O15347	2	2	95879		
Q9NVA2	7	9	43382		
Q96PD5	1	1	490		
O00567	4	4	19726		
Q5T6J7	1	1	3228		
Q9NRN7	1	1	9387		
Q13642	2	2	99751		
Q9Y2Q5	3	3	45538		
O94819	1	1	660		
O76021	1	1	28826		
P01891	1	1	11883		
P62273	2	2	33518		
Q13576	32	33	46682		
P10412	1	1	12886		
Q5T2T1	3	3	13102		
Q05682	21	22	53504		
P24298	1	1	26088		
Q9HBH5	3	3	46795		
P33121	20	23	275713		
Q9Y5S9	2	2	26076		
P21333	84	115	52334		
P62805	10	13	1903832		
Q8WUK0	1	1	2397		
O00115	2	2	17246		
P04080	3	5	143567		
O15027	2	2	3847		
P08697	5	5	64099		
O00515	5	5	20845		
Q15526	2	2	19728		
P30086	11	20	279658		
Q9BZE1	1	1	2714		
O15195	1	1	52032		
P50336	5	6	31521		
Q9BYD6	3	3	12464		
P17813	1	1	1380		
P48643	12	14	327152		
Q92930	1	1	10550		
Q9Y3D6	3	3	37861		
Q9UMX5	1	1	22813		
Q8WUI4	1	1	82471		
P49755	4	5	54801		
P52943	4	5	61732		
P35579	92	125	167647		
Q9NTJ5	4	4	16182		
Q9P032	1	1	4912		
P07951	3	5	41279		
Q96DH6	2	2	20426		
P36405	5	5	46078		
Q9BPW8	10	14	25015		
Q8NEZ3	1	2	104013		
P28330	3	3	16599		
P24666	3	3	135370		
Q9H4A4	9	10	32619		
Q04760	8	9	82464		
P29972	1	2	18370		
Q13247	1	1	101631		
P21695	20	25	850684		
Q15418	1	1	17228		
Q9C005	1	1	1010		
Q9BT09	2	2	8776		
P02788	11	11	53838		
O14828	2	2	20595		
Q8TBA6	1	1	96002		
O75431	3	4	56333		
P30419	3	3	27239		
Q9NYL9	7	9	16315		
O00571	5	5	20117		
P41091	1	1	5143		
Q9NZD2	4	4	20916		
P09382	5	5	602666		
P55786	12	14	69122		
Q01085	1	1	5312		
Q9BUP0	3	4	13548		
P00390	15	21	49331		
P49189	11	13	162254		
P62714	1	1	2862		
A1L0T0	2	2	12346		
P42224	16	17	52225		
O60488	1	1	8152		
Q7LG56	3	3	7086		
Q9H3G5	5	5	135601		
P57737	3	3	19840		
P27797	19	23	86649		
Q9Y478	2	2	4350		
P35542	2	2	28742		
O43181	4	4	62176		
Q02543	3	3	32340		
O95782	3	3	51725		
P07738	4	4	86457		
Q9H173	2	2	8309		
Q02218	21	25	177051		
Q6P4F2	1	1	4810		
Q96P70	2	2	11722		
Q16881	7	7	47139		
P38571	1	1	10807		
Q15084	14	19	50300		
P62906	3	3	61027		
P09493	9	10	68438		
Q15942	6	6	43799		
Q9UHL4	9	11	32320		
Q9Y3B7	3	3	37402		
P01764	1	1	102429		
P01040	1	1	20840		
O95347	1	1	70		
P36269	5	5	35773		
Q7Z2W4	2	2	8070		
P19652	5	7	185446		
Q6PEY1	1	1	7625		
Q9Y512	4	4	154918		
Q9UHV9	3	3	93012		
Q13451	8	8	47397		
P62495	6	6	55581		
P14543	28	32	170366		
Q14789	1	1	5586		
Q92621	1	1	1061		
Q08211	21	23	46052		
Q86TU7	2	2	1270		
P69905	17	38	21004970		
Q9H2H8	1	1	8219		
P31513	1	1	3948		
P07900	15	19	87107		
P62244	4	4	76358		
Q9UBU9	1	1	84565		
Q96M96	1	1	5062		
Q92747	1	1	30444		
Q709C8	5	5	27558		
P04275	16	17	47575		
O60664	15	19	40407		
Q9Y6C2	11	11	137354		
P40261	7	10	34872		
Q6IB77	14	16	24952		
O00186	1	1	1210		
Q16186	1	1	2321		
Q53H82	5	5	31415		
Q9P253	1	1	1603		
Q8IX12	2	2	355556		
Q16773	1	1	4376		
Q16666	5	5	16515		
P30101	29	42	207721		
A6NDG6	1	1	15975		
Q15165	5	7	58425		
P00736	1	1	11380		
O15244	1	1	5126		
P06865	9	10	38479		
Q9NQP4	1	1	14294		
P28072	3	3	31256		
P05155	10	11	340702		
Q8IYQ7	1	1	7197		
Q9UQB8	1	1	8847		
Q8NF37	2	2	3174		
P13639	22	28	159590		
O75146	3	3	26410		
Q6P587	7	10	21364		
Q9BTE6	2	2	7168		
Q86U42	1	1	24576		
Q99816	2	2	12602		
Q8WVM8	3	3	14199		
O60218	5	5	38508		
Q6NVY1	16	20	49128		
Q14108	6	7	72498		
Q6P996	3	3	17196		
Q9C0B1	2	2	19151		
Q07954	7	7	26123		
P45973	1	1	3786		
Q9H3N1	1	1	3465		
Q9Y6G9	1	1	5400		
P46087	1	1	14129		
P00748	2	2	28886		
Q9BYF1	2	2	64089		
Q15847	3	4	115095		
Q01082	94	117	665937		
P61457	2	2	105169		
Q96JY6	7	8	50070		
O43491	7	7	63671		
O15399	1	1	22850		
Q96QR8	2	2	4760		
P05162	2	3	16532		
O94874	9	9	29016		
Q15382	1	1	14412		
Q9UBS4	2	3	25297		
Q8IUX7	2	2	22480		
P16112	1	1	6607		
P01008	18	23	227432		
P28332	6	6	53040		
Q9NWS8	1	1	4192		
P02751	54	67	203001		
Q13765	3	4	34041		
P12821	8	9	33905		
Q9P260	1	1	1721		
O75746	8	9	60847		
Q13045	8	8	18884		
Q8WW12	2	2	6842		
O14974	3	3	34259		
Q13813	124	144	123178		
Q8IUD2	1	1	1562		
O95721	2	2	31239		
P22626	17	23	260718		
P78371	22	24	176336		
P50402	1	1	3672		
P16157	16	16	60945		
Q15365	5	6	53507		
Q8IXI2	1	1	49904		
P40926	18	23	245376		
O60716	14	14	103031		
P02792	11	17	203700		
Q9HC35	6	6	21510		
O14949	3	4	19762		
P01023	49	62	435964		
Q14203	11	11	61782		
Q9HB20	1	1	4283		
P30084	14	20	746554		
Q14160	3	3	61186		
P09104	8	13	71571		
O43617	2	2	29819		
P51580	3	3	10993		
P60033	1	1	22950		
Q13492	9	10	35392		
P30273	3	3	138662		
O60494	21	26	64326		
Q0VF96	1	1	9603		
Q16543	5	6	39565		
O00148	1	1	5982		
P62258	16	23	189079		
Q6YN16	11	13	92065		
O00422	1	1	3107		
P43080	1	1	8550		
P51798	1	1	6173		
Q5VZ46	1	1	3687		
Q15424	1	1	26408		
P78330	2	2	26806		
Q9BXP5	4	4	13390		
Q495M3	2	2	4979		
Q9Y2Z4	3	3	13718		
P16930	13	15	155502		
O94788	8	8	57127		
P28070	4	4	41480		
Q8N163	6	6	74458		
Q9Y5X1	4	4	41992		
Q9H2U2	11	16	35701		
P06280	2	2	20938		
O15014	1	1	10956		
P51888	12	16	297670		
P14780	1	1	2352		
P11279	6	8	304642		
Q5VIR6	2	2	3367		
Q9NT62	2	2	16125		
Q9BTW9	2	2	10322		
Q02809	7	7	27652		
P61201	3	3	28650		
O15020	18	19	64954		
P22676	2	2	41107		
P22234	10	13	41636		
Q9P0J0	3	3	46872		
P21397	17	19	401845		
P16615	4	4	38796		
Q01518	16	21	147305		
Q9HAB8	2	2	18119		
Q5JPH6	2	2	121653		
P09497	3	3	26758		
P55084	25	30	303034		
Q92973	3	3	23788		
Q9NQX3	3	3	26712		
P50479	2	2	38041		
P14920	3	3	34195		
Q9UKG1	3	3	13899		
Q32P28	4	4	13720		
P48147	1	2	28834		
P32754	11	13	28453		
Q06830	12	15	250853		
Q7L5N1	2	2	32900		
O75891	26	30	121356		
Q9BT78	5	5	42422		
Q13126	3	4	45128		
O60749	11	12	60575		
Q14764	37	47	40743		
P02042	9	14	2683740		
Q9HCB6	8	9	28250		
P42574	1	1	3437		
Q7L576	6	6	31754		
Q6IAA8	5	5	46384		
Q92575	1	1	9958		
P29401	22	31	261294		
P11215	1	1	25017		
P63098	1	1	6260		
Q8IVM0	1	1	3785		
P17540	8	8	60899		
Q15018	1	1	24428		
O15540	5	5	35650		
P84103	6	6	46321		
P06133	1	1	30034		
Q5T2W1	9	11	20748		
Q99757	1	1	20659		
Q93088	19	27	21714		
Q9Y6D6	1	1	3813		
P61626	5	5	52591		
O95967	2	2	14247		
O60220	2	2	20670		
Q9Y606	2	2	36666		
Q8IXB1	1	1	39049		
O00151	10	10	567140		
Q9NZ45	3	4	41403		
P30040	8	9	74908		
Q9UHA4	2	2	51463		
Q8NBJ5	8	9	64047		
Q16658	11	11	68549		
P49407	2	2	14979		
Q8WW59	8	8	36231		
O94875	2	2	28250		
Q6NV75	1	1	21394		
Q15126	3	3	20756		
Q9NYQ3	4	4	18854		
Q9Y259	1	1	14112		
P14854	3	3	36884		
P07954	18	23	113308		
P27482	3	3	27236		
O15511	3	3	36978		
Q02750	1	1	2052		
P49753	1	1	1560		
Q9UNS2	1	1	6192		
Q9HCF6	1	1	13170		
P27816	20	20	46440		
Q15746	7	7	51869		
Q8N6H7	1	1	2461		
Q6UW63	1	1	9290		
Q9NX46	2	2	18816		
P10515	14	15	118786		
P23142	5	5	32053		
P15428	1	1	4327		
Q96I99	21	23	347991		
Q9Y697	2	2	18885		
O43324	2	2	13974		
Q9H9F9	1	1	10880		
Q12904	7	7	33004		
Q86VN1	2	2	11025		
P51553	1	1	8321		
Q8IVS2	1	1	3336		
Q86UY8	1	1	5407		
P39023	3	3	38864		
Q8WTX9	1	1	56664		
P18859	9	11	59877		
A4D1P6	1	1	6973		
Q9BQE5	8	9	51570		
Q9UBG0	1	1	1995		
P14866	10	11	54536		
P00797	1	1	3827		
P01717	1	2	99822		
Q9H1E5	1	1	15067		
Q8WWI1	8	8	54576		
O95563	1	1	4615		
O43294	2	2	29425		
P63151	2	2	21666		
P46108	3	3	25778		
P55008	3	3	25308		
Q14683	2	2	26191		
P05937	15	21	704211		
Q16719	1	1	17666		
Q86UP2	29	29	33736		
Q7KZF4	25	29	382253		
Q9H845	10	11	37056		
Q9BS26	4	4	29210		
A6NNA5	1	1	18979		
P04211	1	1	12123		
Q9HBL0	19	20	97965		
Q9H7C9	3	3	27167		
Q9H269	1	1	4671		
P43034	5	6	32962		
Q13505	4	4	20813		
P08263	1	1	28346		
Q9H6S3	9	10	29616		
P80404	15	20	66220		
P50897	4	4	20429		
Q9NY33	8	8	49592		
P39059	9	10	60957		
Q9NQT8	10	10	27390		
P42677	1	1	5165		
P25705	36	52	787740		
Q9UL25	4	4	60988		
Q9NWU1	2	2	94911		
Q5T440	3	4	16743		
Q9Y262	4	4	19083		
P55265	4	4	12670		
Q96C00	1	1	4743		
Q02978	17	18	222602		
Q9NV96	1	1	10729		
P32456	1	1	14439		
Q99598	1	1	7802		
Q9P2K5	2	2	88235		
O95299	10	11	85865		
Q9H4G4	1	1	3762		
Q15181	10	15	181670		
P46821	8	9	53722		
Q9Y3F4	5	5	128039		
Q5VXI9	1	1	81661		
P05186	2	2	8887		
P31943	3	3	32716		
O95167	2	2	20163		
P35611	9	10	40310		
O75323	7	8	58876		
Q14165	4	4	31197		
Q9UGB7	3	3	44681		
P23083	1	1	7827		
Q8TD19	1	1	20655		
P62310	1	1	16370		
Q9UKU7	5	5	38141		
P13693	3	3	19782		
Q8N4Q0	1	1	4700		
Q9Y3A6	1	1	10696		
P13667	31	36	67840		
P35080	4	5	13238		
Q9P2F5	1	1	15474		
Q9UH62	1	1	12997		
Q8WXI4	1	1	27140		
Q12797	11	13	83745		
Q15121	2	3	26330		
Q15843	3	4	40546		
Q71UM5	1	2	32413		
Q9H307	1	1	8184		
Q00056	1	1	1367753		
Q6UXS9	1	1	192330		
P27144	15	22	97791		
O43815	1	1	19561		
Q92890	1	1	11297		
P17980	7	9	43710		
Q96CM4	1	1	3416		
Q05397	1	1	61910		
P61221	4	4	18151		
O75884	3	3	29169		
Q6PIU2	7	9	55573		
Q86YB7	5	6	24294		
Q7Z6Z7	5	5	10883		
O00154	4	4	39084		
Q7L266	2	2	11073		
P11498	41	49	155426		
Q9GZT8	2	2	41706		
P12931	1	1	18023		
P21912	11	13	79600		
O14618	2	2	29800		
P49959	1	1	6938		
Q5T447	1	1	29833		
Q9P035	2	2	25194		
P82650	3	3	98635		
P50747	1	1	4653		
P02746	2	2	24999		
P13473	3	3	17188		
O75531	1	1	16006		
P29218	4	4	66386		
Q9BQ52	1	1	2735		
Q16630	2	2	37791		
Q16740	2	2	15596		
P42330	4	4	59692		
P30042	7	10	104908		
O43809	4	4	22179		
Q13435	3	3	14704		
Q5JTJ3	1	1	20126		
P09132	1	1	943		
Q13526	1	1	22507		
Q99497	10	11	186255		
Q9BTT0	1	1	25772		
Q8NHG7	1	1	8759		
O00757	2	2	28527		
P16152	13	15	32258		
P23193	4	4	25200		
P51690	1	1	10760		
Q13404	1	1	2601		
P62942	3	4	104633		
Q7L0Y3	3	3	26730		
O60784	4	4	15365		
Q01433	1	1	5290		
O94986	1	1	80843		
Q7Z4W1	6	6	108734		
P83111	3	3	188078		
P29350	3	3	14270		
Q92520	1	1	1740		
P56192	2	2	14857		
P08571	3	5	31714		
P02749	3	3	167102		
Q8WXX5	1	1	13026		
Q6DD88	1	1	10377		
P55060	7	7	1758568		
P34931	1	1	14669		
P42785	4	4	53590		
P60903	3	4	298230		
Q9UIA9	1	1	7865		
P09661	3	3	37276		
Q12792	6	7	35677		
P14923	7	7	24331		
Q9P2R7	10	11	147759		
P31153	6	7	38005		
P18124	8	10	67911		
O96000	3	3	46132		
P60510	1	1	9274		
Q8IYU8	2	2	20958		
P08107	13	19	146230		
P15531	4	5	44690		
Q9NSD9	7	7	19682		
Q9Y2X3	7	7	34754		
Q93083	1	1	190		
Q03518	5	5	12202		
O60826	3	3	409466		
P56134	3	3	67906		
P53007	4	4	111135		
P35527	14	14	73391		
Q9H6V9	1	1	135248		
Q15008	1	1	8533		
P00739	2	2	13171		
P36543	8	9	33292		
Q9NRZ7	2	2	17372		
Q9ULC6	2	2	13072		
P55789	1	1	2553		
P12644	1	1	73536		
P49914	1	1	21156		
Q06278	8	8	89034		
Q9UKY7	2	2	12691		
P61586	1	1	920		
P61289	4	4	13421		
Q8NBS9	12	12	56840		
Q9Y2V2	3	4	51757		
P25325	9	9	87414		
Q06033	5	6	40124		
Q9Y376	5	5	34847		
P49789	3	4	22683		
Q9Y4K1	5	5	17034		
Q9HBG4	22	23	36048		
Q9Y3I0	8	8	113233		
Q8IZP0	1	1	4975		
P42126	6	6	69140		
Q8NI22	1	1	6460		
O15371	1	1	2685		
Q16790	5	6	34859		
O94832	1	1	5825		
P59103	1	1	50		
P26599	10	14	43864		
Q6GMR7	1	1	26020		
P52758	7	10	39062		
P24534	4	4	42735		
P01859	4	5	1909524		
Q13155	2	2	13985		
O75352	1	1	32543		
O43768	1	1	980		
P12109	19	24	540263		
Q969L2	1	1	8053		
Q9P219	1	1	6294		
Q9H4A3	1	1	16354		
Q86UX2	5	5	32709		
Q53T59	1	1	27639		
P07996	15	16	119194		
P48163	6	6	110453		
Q9UBQ5	3	3	60162		
Q14103	4	4	57440		
P62841	1	1	4709		
P12004	3	3	22707		
Q8TAE8	1	1	65004		
P30613	17	21	100625		
Q562E7	1	1	7793		
Q8NCW5	3	4	13936		
P50991	11	11	76108		
Q96CT7	2	2	11531		
Q96HY6	3	4	4345		
P62081	7	8	78452		
P23396	15	16	93311		
Q9NYL4	1	1	7635		
Q96BY6	1	1	7036		
P0CG38	1	1	11427		
O95487	1	1	110		
P15313	14	18	32776		
Q86V81	2	3	18486		
Q6NUK1	10	10	72200		
P0DJI9	1	2	39231		
Q96KP4	27	44	107554		
O43451	10	12	30632		
P11586	26	27	89975		
P14209	1	1	15386		
P28288	2	2	5391		
P46379	1	1	6166		
Q8TEX9	2	2	1340		
P62070	1	1	2793		
Q9Y5J7	2	2	32613		
Q13885	1	1	12568		
Q3L8U1	1	1	12924		
Q9H7Z7	13	14	23722		
P45880	9	10	138962		
Q96AP7	2	2	13182		
Q9C0D6	1	1	5890		
Q96TC7	1	1	18473		
Q9Y3E7	1	1	40047		
Q08722	1	1	94806		
Q96HD9	4	4	24514		
P01034	1	1	12367		
Q9P0M6	2	2	21860		
A6NJG2	1	1	22847		
O75915	3	3	58006		
P60468	1	1	3094		
P04040	26	34	458690		
Q15020	2	2	29659		
A0PJK1	1	1	239454		
P13804	15	21	216070		
Q9NP81	5	5	20013		
Q14677	7	7	19505		
P61020	3	3	38708		
Q8NBU5	1	1	36986		
P01871	4	4	194020		
O75153	1	1	12250		
O60271	11	11	25578		
Q86UX7	3	3	12209		
P43652	4	5	87047		
P08621	5	5	57890		
P09417	8	10	154699		
Q9Y333	3	4	37830		
P01780	1	1	80451		
Q9NZJ5	1	1	4005		
Q9Y2T2	2	2	8571		
Q9Y394	3	4	34112		
Q9UI17	28	32	70211		
Q13405	3	3	7349		
P62995	3	4	33329		
Q9NUL5	1	1	10815		
O00534	2	2	27622		
P00966	23	26	2266418		
P00558	24	34	258674		
Q13347	3	3	20809		
Q99963	1	1	25078		
P34896	14	18	102050		
P12235	3	3	53115		
Q9Y2Y0	1	1	2871		
O60762	4	4	14429		
P13798	13	13	250453		
Q9HD45	1	1	15199		
P62910	1	1	490		
O00391	1	1	11730		
P36776	21	23	38881		
Q07837	2	2	57217		
Q8WV74	1	1	14828		
Q12874	2	2	6336		
O60502	2	2	38721		
Q96IJ6	2	2	16129		
Q9Y6I3	2	2	23376		
P46736	1	1	5168		
P11171	2	2	18895		
O95881	2	2	27689		
O75309	16	18	26607		
P52566	7	7	54461		
P07737	11	14	171101		
P40855	1	1	5051		
Q4G176	7	9	35915		
Q96S52	1	1	470		
O43676	2	2	81293		
Q969H0	1	1	50942		
O95571	2	2	26792		
P36959	1	1	650		
O60506	7	8	78097		
Q14126	1	1	5502		
O75223	5	5	345505		
Q16891	24	31	69968		
Q9UJ70	7	8	33146		
O14791	2	2	5177		
Q4U2R8	2	2	23990		
O60256	4	4	64994		
Q15369	1	1	2387		
Q6ZVF9	1	1	21355		
P61006	1	2	26702		
P17858	14	21	58944		
P68036	6	6	41105		
Q9Y277	6	8	54263		
O75351	1	1	1020		
P53597	8	11	268491		
P05114	3	4	3534		
Q01740	7	7	61329		
Q15370	4	5	43647		
P62753	5	5	77547		
P30085	7	8	91406		
P52597	6	8	51805		
